Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
1,0,32.848,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.551,0.0,34.257,0.1,1,2019-02-12 09:13:27.000,15,2019-02-12 09:13:59.848,0.25,90,-180,-180,90,1
2,0,45.93899999999999,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.401,1.0,47.464,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:14:12.939,0.25,-90,0,0,-90,1
3,0,64.475,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.47600000000000003,1.0,66.002,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:14:31.475,0.25,-90,0,0,-90,1
4,0,83.68799999999999,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.626,0.0,85.771,0.1,1,2019-02-12 09:13:27.000,15,2019-02-12 09:14:50.688,0.25,90,-180,-180,90,1
5,0,100.868,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.701,0.0,102.755,0.1,1,2019-02-12 09:13:27.000,15,2019-02-12 09:15:07.868,0.25,90,-180,-180,90,1
6,0,119.553,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.626,1.0,121.898,0.0,0,2019-02-12 09:13:27.000,15,2019-02-12 09:15:26.553,0.25,-90,-180,-180,-90,1
9,0,152.709,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.47600000000000003,1.0,154.028,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:15:59.709,0.25,-90,0,0,-90,1
10,0,170.94799999999998,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.701,1.0,172.09599999999998,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:16:17.948,0.25,-90,0,0,-90,1
11,0,188.785,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.401,1.0,190.435,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:16:35.785,0.25,-90,0,0,-90,1
12,0,207.43900000000002,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.551,1.0,208.743,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:16:54.439,0.25,-90,0,0,-90,1
13,0,224.582,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.626,1.0,225.998,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:17:11.582,0.25,-90,0,0,-90,1
14,0,267.153,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.701,1.0,268.54,0.0,0,2019-02-12 09:13:27.000,15,2019-02-12 09:17:54.153,0.25,-90,-180,-180,-90,1
16,0,278.95799999999997,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.701,0.0,280.374,0.1,1,2019-02-12 09:13:27.000,15,2019-02-12 09:18:05.958,0.25,90,-180,-180,90,1
17,0,296.462,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.551,1.0,297.654,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:18:23.462,0.25,-90,0,0,-90,1
18,0,318.645,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.401,1.0,320.447,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:18:45.645,0.25,-90,0,0,-90,1
19,0,342.337,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.47600000000000003,1.0,343.914,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:19:09.337,0.25,-90,0,0,-90,1
20,0,360.36699999999996,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.626,0.0,362.524,0.1,1,2019-02-12 09:13:27.000,15,2019-02-12 09:19:27.367,0.25,90,-180,-180,90,1
21,0,369.10900000000004,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.626,0.0,370.727,0.1,1,2019-02-12 09:13:27.000,15,2019-02-12 09:19:36.109,0.25,90,-180,-180,90,1
22,0,377.259,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.701,0.0,378.91,0.1,1,2019-02-12 09:13:27.000,15,2019-02-12 09:19:44.259,0.25,90,-180,-180,90,1
23,0,396.57099999999997,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.47600000000000003,1.0,397.788,0.0,0,2019-02-12 09:13:27.000,15,2019-02-12 09:20:03.571,0.25,-90,-180,-180,-90,1
25,0,408.042,0,0,1,0.25,2,3,0.0,1.0,12,40.0,30.0,3,0.551,0.0,409.366,0.1,1,2019-02-12 09:13:27.000,15,2019-02-12 09:20:15.042,0.25,90,-180,-180,90,1
26,0,427.793,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.401,1.0,429.228,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:20:34.793,0.25,-90,0,0,-90,1
27,0,443.94300000000004,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.551,1.0,445.76300000000003,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:20:50.943,0.25,-90,0,0,-90,1
28,0,460.224,0,0,1,0.25,2,9,0.0,1.0,6,40.0,30.0,9,0.701,1.0,461.714,0.2,1,2019-02-12 09:13:27.000,15,2019-02-12 09:21:07.224,0.25,-90,0,0,-90,1
