Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
1,0,32.405,0,90,1,0.25,2,90,0.0,0.0,6,45.0,20.0,9,0.601,0.0,32.971,0.0,0,2019-06-17 10:41:01.000,32,2019-06-17 10:41:33.405,0.25,90,0,-90,0,1
3,0,99.757,0,90,1,0.25,2,90,0.0,0.0,6,45.0,20.0,9,0.8009999999999999,1.0,101.083,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:42:40.757,0.25,-90,0,-90,-180,1
4,0,116.45200000000001,1,90,1,0.25,2,90,0.0,0.0,6,45.0,20.0,9,0.6509999999999999,1.0,116.81299999999999,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:42:57.452,0.25,-90,0,-90,-180,1
5,0,118.488,0,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.701,1.0,121.334,0.0,0,2019-06-17 10:41:01.000,32,2019-06-17 10:42:59.488,0.25,-90,-180,90,-180,1
7,0,134.273,0,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.7509999999999999,0.0,134.61700000000002,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:43:15.273,0.25,90,-180,90,0,1
8,0,150.326,1,90,1,0.25,2,90,0.0,0.0,6,45.0,20.0,9,0.7509999999999999,1.0,151.095,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:43:31.326,0.25,-90,0,-90,-180,1
9,0,152.605,0,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.601,1.0,154.719,0.0,0,2019-06-17 10:41:01.000,32,2019-06-17 10:43:33.605,0.25,-90,-180,90,-180,1
11,0,160.787,0,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.6509999999999999,0.0,163.149,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:43:41.787,0.25,90,-180,90,0,1
12,0,168.597,1,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.8009999999999999,0.0,169.09400000000002,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:43:49.597,0.25,90,-180,90,0,1
13,0,170.56,1,90,1,0.25,2,90,0.0,0.0,6,45.0,20.0,9,0.701,1.0,172.62900000000002,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:43:51.560,0.25,-90,0,-90,-180,1
14,0,174.321,0,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.7509999999999999,0.0,176.502,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:43:55.321,0.25,90,-180,90,0,1
15,0,180.085,0,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.6509999999999999,0.0,180.68,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:44:01.085,0.25,90,-180,90,0,1
16,0,184.17,1,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.601,0.0,184.593,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:44:05.170,0.25,90,-180,90,0,1
17,0,186.00099999999998,1,90,1,0.25,2,90,0.0,0.0,6,45.0,20.0,9,0.701,1.0,187.75599999999997,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:44:07.001,0.25,-90,0,-90,-180,1
18,0,189.18599999999998,0,90,1,0.25,2,90,0.0,0.0,6,45.0,20.0,9,0.8009999999999999,1.0,190.815,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:44:10.186,0.25,-90,0,-90,-180,1
19,0,192.02,1,90,1,0.25,2,30,0.0,0.0,12,45.0,20.0,3,0.601,0.0,192.53799999999998,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:44:13.020,0.25,90,-180,90,0,1
20,0,193.893,0,90,1,0.25,2,90,0.0,0.0,6,45.0,20.0,9,0.7509999999999999,1.0,195.99200000000002,0.15,1,2019-06-17 10:41:01.000,32,2019-06-17 10:44:14.893,0.25,-90,0,-90,-180,1
