Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
1,0,43.638999999999996,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.401,0.0,47.854,0.0,0,2018-03-14 10:19:07.000,117,2018-03-14 10:19:50.639,0.25,90,0,0,90,1
3,0,91.5,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.8959999999999999,1.0,96.105,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:20:38.500,0.25,-90,0,0,-90,1
4,0,133.694,0,0,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.5660000000000001,0.0,138.21,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:21:20.694,0.25,90,-180,-180,90,1
5,0,161.232,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,1.061,1.0,162.57,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:21:48.232,0.25,-90,0,0,-90,1
6,0,199.2,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,1.061,1.0,204.234,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:22:26.200,0.25,-90,0,0,-90,1
7,0,236.593,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.731,1.0,241.265,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:23:03.593,0.25,-90,0,0,-90,1
8,0,273.562,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.8959999999999999,1.0,283.466,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:23:40.562,0.25,-90,0,0,-90,1
9,0,308.243,0,0,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.5660000000000001,0.0,316.257,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:24:15.243,0.25,90,-180,-180,90,1
10,0,352.714,0,0,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.401,0.0,354.455,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:24:59.714,0.25,90,-180,-180,90,1
11,0,380.815,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.401,0.0,386.162,0.0,0,2018-03-14 10:19:07.000,117,2018-03-14 10:25:27.815,0.25,90,0,0,90,1
13,0,429.251,0,0,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.5660000000000001,0.0,431.18300000000005,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:26:16.251,0.25,90,-180,-180,90,1
14,0,458.835,0,0,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,1.061,0.0,459.98800000000006,0.2,1,2018-03-14 10:19:07.000,117,2018-03-14 10:26:45.835,0.25,90,-180,-180,90,1
