Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
1,0,47.55,0,-90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.861,0.0,53.347,0.0,0,2018-02-13 09:05:26.000,51,2018-02-13 09:06:13.550,0.15,90,0,90,-180,1
3,0,90.915,0,-90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,1.121,0.0,93.73200000000001,0.2,1,2018-02-13 09:05:26.000,51,2018-02-13 09:06:56.915,0.15,90,-180,-90,-180,1
4,0,124.791,0,-90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.731,0.0,127.803,0.0,0,2018-02-13 09:05:26.000,51,2018-02-13 09:07:30.791,0.15,90,0,90,-180,1
6,0,229.33599999999998,0,-90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.991,1.0,231.37400000000002,0.0,0,2018-02-13 09:05:26.000,51,2018-02-13 09:09:15.336,0.15,-90,-180,-90,0,1
8,0,273.724,0,-90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.861,0.0,275.283,0.2,1,2018-02-13 09:05:26.000,51,2018-02-13 09:09:59.724,0.15,90,-180,-90,-180,1
9,0,364.069,0,-90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,1.121,1.0,369.582,0.0,0,2018-02-13 09:05:26.000,51,2018-02-13 09:11:30.069,0.15,-90,-180,-90,0,1
11,0,412.733,0,-90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,1.121,1.0,416.207,0.0,0,2018-02-13 09:05:26.000,51,2018-02-13 09:12:18.733,0.15,-90,-180,-90,0,1
13,0,452.48199999999997,0,-90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.601,1.0,454.365,0.0,0,2018-02-13 09:05:26.000,51,2018-02-13 09:12:58.482,0.15,-90,-180,-90,0,1
15,0,502.665,0,-90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.861,1.0,504.855,0.2,1,2018-02-13 09:05:26.000,51,2018-02-13 09:13:48.665,0.15,-90,0,90,0,1
16,0,531.03,0,-90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.731,0.0,533.842,0.2,1,2018-02-13 09:05:26.000,51,2018-02-13 09:14:17.030,0.15,90,-180,-90,-180,1
17,0,589.378,0,-90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.601,0.0,593.008,0.2,1,2018-02-13 09:05:26.000,51,2018-02-13 09:15:15.378,0.15,90,-180,-90,-180,1
18,0,612.52,0,-90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,1.121,1.0,615.124,0.2,1,2018-02-13 09:05:26.000,51,2018-02-13 09:15:38.520,0.15,-90,0,90,0,1
