Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
60,0,391.224,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.951,1.0,391.42,0.15,1,2019-05-17 08:49:12.000,52,2019-05-17 08:55:43.224,0.25,-90,0,-90,-180,1
61,0,395.26800000000003,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.763,0.0,395.91,0.15,1,2019-05-17 08:49:12.000,52,2019-05-17 08:55:47.268,0.25,90,-180,90,0,1
62,0,400.76599999999996,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.888,1.0,401.409,0.0,0,2019-05-17 08:49:12.000,52,2019-05-17 08:55:52.766,0.25,-90,-180,90,-180,1
64,0,415.93300000000005,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.888,0.0,416.77,0.15,1,2019-05-17 08:49:12.000,52,2019-05-17 08:56:07.933,0.25,90,-180,90,0,1
65,0,430.533,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.701,1.0,431.171,0.15,1,2019-05-17 08:49:12.000,52,2019-05-17 08:56:22.533,0.25,-90,0,-90,-180,1
66,0,434.722,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.763,1.0,435.57,0.15,1,2019-05-17 08:49:12.000,52,2019-05-17 08:56:26.722,0.25,-90,0,-90,-180,1
67,0,438.745,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.951,1.0,439.418,0.15,1,2019-05-17 08:49:12.000,52,2019-05-17 08:56:30.745,0.25,-90,0,-90,-180,1
68,0,443.68,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.826,1.0,445.26599999999996,0.0,0,2019-05-17 08:49:12.000,52,2019-05-17 08:56:35.680,0.25,-90,-180,90,-180,1
71,0,461.87800000000004,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.951,0.0,464.21,0.0,0,2019-05-17 08:49:12.000,52,2019-05-17 08:56:53.878,0.25,90,0,-90,0,1
46,0,422.894,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.701,0.0,425.13599999999997,0.0,0,2019-05-28 14:00:10.000,125,2019-05-28 14:07:12.894,0.25,90,0,-90,0,1
48,0,442.912,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.951,0.0,443.795,0.15,1,2019-05-28 14:00:10.000,125,2019-05-28 14:07:32.912,0.25,90,-180,90,0,1
49,0,450.478,1,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.763,1.0,450.93,0.15,1,2019-05-28 14:00:10.000,125,2019-05-28 14:07:40.478,0.25,-90,0,-90,-180,1
