Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
1,0,41.792,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,0.0,0.0,0.0,0,2019-11-25 09:45:38.000,40,2019-11-25 09:46:19.792,0.25,90,0,0,90,1
4,0,87.852,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,1.0,89.74,0.0,0,2019-11-25 09:45:38.000,40,2019-11-25 09:47:05.852,0.25,-90,-180,-180,-90,1
7,0,124.07700000000001,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-25 09:45:38.000,40,2019-11-25 09:47:42.077,0.25,90,-180,-180,90,1
8,0,133.034,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,0.0,0.0,0.0,0,2019-11-25 09:45:38.000,40,2019-11-25 09:47:51.034,0.25,90,0,0,90,1
10,0,149.345,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,1.0,150.974,0.0,0,2019-11-25 09:45:38.000,40,2019-11-25 09:48:07.345,0.25,-90,-180,-180,-90,1
12,0,170.82299999999998,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-11-25 09:45:38.000,40,2019-11-25 09:48:28.823,0.25,90,-180,-180,90,1
13,0,177.78099999999998,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-25 09:45:38.000,40,2019-11-25 09:48:35.781,0.25,90,-180,-180,90,1
14,0,185.63,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-25 09:45:38.000,40,2019-11-25 09:48:43.630,0.25,90,-180,-180,90,1
15,0,191.93200000000002,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,195.641,0.15,1,2019-11-25 09:45:38.000,40,2019-11-25 09:48:49.932,0.25,-90,0,0,-90,1
16,0,202.18099999999998,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-11-25 09:45:38.000,40,2019-11-25 09:49:00.181,0.25,90,-180,-180,90,1
17,0,208.321,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-25 09:45:38.000,40,2019-11-25 09:49:06.321,0.25,90,-180,-180,90,1
18,0,214.555,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,220.321,0.15,1,2019-11-25 09:45:38.000,40,2019-11-25 09:49:12.555,0.25,-90,0,0,-90,1
