Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
61,0,1051.756,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,1.0,1058.5739999999998,0.0,0,2020-03-18 09:20:05.000,87,2020-03-18 09:37:36.756,0.25,-90,30,30,-90,1
64,0,1086.252,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:38:11.252,0.25,90,30,30,90,1
65,0,1098.122,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,0.0,0.0,0.0,0,2020-03-18 09:20:05.000,87,2020-03-18 09:38:23.122,0.25,90,-150,-150,90,1
67,0,1123.2830000000001,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.47600000000000003,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:38:48.283,0.25,90,30,30,90,1
68,0,1132.447,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,1135.219,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:38:57.447,0.25,-90,-150,-150,-90,1
69,0,1152.546,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:39:17.546,0.25,90,30,30,90,1
70,0,1160.479,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.47600000000000003,0.0,0.0,0.0,0,2020-03-18 09:20:05.000,87,2020-03-18 09:39:25.479,0.25,90,-150,-150,90,1
72,0,1186.039,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:39:51.039,0.25,90,30,30,90,1
73,0,1194.6580000000001,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:39:59.658,0.25,90,30,30,90,1
74,0,1211.487,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.47600000000000003,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:40:16.487,0.25,90,30,30,90,1
75,0,1221.174,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,1225.16,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:40:26.174,0.25,-90,-150,-150,-90,1
76,0,1265.719,1,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,1275.308,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:41:10.719,0.25,-90,-150,-150,-90,1
77,0,1289.316,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,1.0,1291.741,0.0,0,2020-03-18 09:20:05.000,87,2020-03-18 09:41:34.316,0.25,-90,30,30,-90,1
79,0,1308.762,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.451,1.0,1318.967,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:41:53.762,0.25,-90,-150,-150,-90,1
80,0,1343.335,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.526,1.0,1349.251,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:42:28.335,0.25,-90,-150,-150,-90,1
81,0,1376.356,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,1379.6989999999998,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:43:01.356,0.25,-90,-150,-150,-90,1
82,0,1397.161,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.47600000000000003,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:43:22.161,0.25,90,30,30,90,1
83,0,1405.7620000000002,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,0.0,0.0,0.0,0,2020-03-18 09:20:05.000,87,2020-03-18 09:43:30.762,0.25,90,-150,-150,90,1
85,0,1434.7089999999998,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.451,1.0,1437.124,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:43:59.709,0.25,-90,-150,-150,-90,1
86,0,1457.092,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:44:22.092,0.25,90,30,30,90,1
87,0,1465.4229999999998,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.551,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:44:30.423,0.25,90,30,30,90,1
88,0,1472.59,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:44:37.590,0.25,90,30,30,90,1
89,0,1482.0410000000002,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,1487.8210000000001,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:44:47.041,0.25,-90,-150,-150,-90,1
90,0,1501.0410000000002,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.47600000000000003,1.0,1515.328,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:45:06.041,0.25,-90,-150,-150,-90,1
91,0,1563.094,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.551,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:46:08.094,0.25,90,30,30,90,1
92,0,1571.0439999999999,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:46:16.044,0.25,90,30,30,90,1
93,0,1582.024,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,1586.402,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:46:27.024,0.25,-90,-150,-150,-90,1
94,0,1612.846,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.47600000000000003,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:46:57.846,0.25,90,30,30,90,1
95,0,1629.896,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:47:14.896,0.25,90,30,30,90,1
96,0,1638.338,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.526,1.0,1640.345,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:47:23.338,0.25,-90,-150,-150,-90,1
97,0,1654.2679999999998,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,1657.1879999999999,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:47:39.268,0.25,-90,-150,-150,-90,1
98,0,1672.432,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.451,1.0,1675.4360000000001,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:47:57.432,0.25,-90,-150,-150,-90,1
99,0,1702.618,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.551,1.0,1705.344,0.0,0,2020-03-18 09:20:05.000,87,2020-03-18 09:48:27.618,0.25,-90,30,30,-90,1
101,0,1755.418,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.47600000000000003,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:49:20.418,0.25,90,30,30,90,1
102,0,1763.4579999999999,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,1.0,1769.9720000000002,0.0,0,2020-03-18 09:20:05.000,87,2020-03-18 09:49:28.458,0.25,-90,30,30,-90,1
104,0,1785.836,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.47600000000000003,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:49:50.836,0.25,90,30,30,90,1
105,0,1828.346,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,1830.082,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:50:33.346,0.25,-90,-150,-150,-90,1
106,0,1856.872,1,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.526,0.0,0.0,0.0,0,2020-03-18 09:20:05.000,87,2020-03-18 09:51:01.872,0.25,90,-150,-150,90,1
109,0,1917.8370000000002,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,0.0,0.0,0.13,1,2020-03-18 09:20:05.000,87,2020-03-18 09:52:02.837,0.25,90,30,30,90,1
110,0,1927.132,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,1929.5179999999998,0.18,1,2020-03-18 09:20:05.000,87,2020-03-18 09:52:12.132,0.25,-90,-150,-150,-90,1
