SessionDate,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe,ferret,block
2018-10-02 14:33:54,1,0,34.995,0,180,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.501,1.0,36.251,0.23,1,270,2018-10-02 14:34:28.995,0.25,-90,0,-180,90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,2,0,47.631,0,180,1,0.25,2,3,0.0,1.0,3,45.0,30.0,3,0.35100000000000003,0.0,49.143,0.18,1,270,2018-10-02 14:34:41.631,0.25,90,90,-90,-90,0,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,3,0,67.528,0,180,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.451,1.0,69.116,0.23,1,270,2018-10-02 14:35:01.528,0.25,-90,0,-180,90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,4,0,86.04,0,180,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.301,1.0,87.943,0.0,0,270,2018-10-02 14:35:20.040,0.25,-90,-180,0,90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,6,0,108.719,0,180,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.451,0.0,112.539,0.18,1,270,2018-10-02 14:35:42.719,0.25,90,-180,0,-90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,7,0,119.656,0,180,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.35100000000000003,0.0,121.512,0.18,1,270,2018-10-02 14:35:53.656,0.25,90,-180,0,-90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,8,0,128.753,0,180,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.401,0.0,129.9,0.18,1,270,2018-10-02 14:36:02.753,0.25,90,-180,0,-90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,9,0,136.624,0,180,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.301,1.0,138.246,0.23,1,270,2018-10-02 14:36:10.624,0.25,-90,0,-180,90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,10,0,149.597,1,180,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.501,1.0,150.683,0.23,1,270,2018-10-02 14:36:23.597,0.25,-90,0,-180,90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,11,0,166.521,0,180,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.301,0.0,169.71099999999996,0.18,1,270,2018-10-02 14:36:40.521,0.25,90,-180,0,-90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,12,0,176.72400000000005,0,180,1,0.25,2,3,0.0,1.0,3,45.0,30.0,3,0.35100000000000003,0.0,178.088,0.18,1,270,2018-10-02 14:36:50.724,0.25,90,90,-90,-90,0,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,13,0,185.373,0,180,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.401,1.0,187.177,0.23,1,270,2018-10-02 14:36:59.373,0.25,-90,0,-180,90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,14,0,203.362,0,180,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.451,0.0,204.664,0.18,1,270,2018-10-02 14:37:17.362,0.25,90,-180,0,-90,1,F1703_Grainger,Block_J5-290
2018-10-02 14:33:54,15,0,231.16,0,180,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.501,1.0,231.906,0.23,1,270,2018-10-02 14:37:45.160,0.25,-90,0,-180,90,1,F1703_Grainger,Block_J5-290
