TDT_Sample	TDT_status
418479	148.204
423139	148.189
428004	146.885
433372	165.145
437966	165.037
442753	164.925
447524	165.033
452988	164.828
457672	164.613
462373	164.805
467058	165.071
472519	165.240
477214	165.189
481899	165.033
486421	165.358
492056	165.114
496834	164.964
501225	165.367
506124	164.924
511440	164.718
516291	165.265
520977	164.869
525469	165.267
531128	165.120
535812	164.738
540289	164.688
544974	165.033
550657	165.396
555176	165.535
559817	165.760
564548	166.065
570015	166.577
574663	167.673
579569	168.473
584080	169.385
589509	170.614
594196	171.368
598888	172.057
603574	172.826
609258	173.136
613736	172.773
618421	173.277
623325	173.660
628574	174.043
633288	173.350
637957	171.976
642639	171.200
648327	170.416
652799	154.877
657573	140.654
662174	133.298
667859	134.838
672331	160.928
677083	167.363
682488	167.890
687184	169.651
692065	170.957
696555	171.073
702116	171.651
706707	170.875
711401	170.554
716087	170.092
721773	170.236
726251	170.123
730939	169.723
735619	167.280
741140	163.900
745780	158.842
750470	149.786
755157	147.362
760628	147.151
765310	147.287
770001	147.267
774700	147.254
780164	146.814
784845	146.963
789535	146.979
794234	146.623
799693	146.626
804382	146.582
809068	146.908
813760	147.614
819227	147.852
823920	148.286
828598	148.289
833294	148.438
838763	148.370
843445	148.070
848136	147.051
852830	146.292
858294	145.479
862982	144.951
867674	144.057
872370	143.433
877825	142.700
882513	142.107
887208	141.517
891894	141.206
897362	140.451
902043	140.376
906738	140.250
912212	140.554
916892	140.243
921587	140.294
926277	140.372
931749	140.365
936433	140.254
941122	140.355
945803	140.137
951273	140.436
955959	140.368
960647	140.490
965336	140.296
970804	140.368
975503	140.389
980193	140.196
984875	140.421
990339	140.504
995026	140.421
999717	140.371
1004400	140.443
1009873	140.181
1014568	140.100
1019246	140.509
1023943	140.236
1029406	140.243
1034101	140.364
1038801	140.369
1043475	140.143
1048938	140.141
1053635	139.980
1058321	140.251
1063004	140.152
1068482	140.370
1073170	140.478
1077909	140.345
1082547	140.164
1088012	140.124
1092696	140.176
1097391	140.236
1102084	140.085
1107545	140.061
1112234	140.189
1116926	140.152
1121618	140.072
1127075	140.144
1131764	140.146
1136450	140.150
1141956	140.302
1146620	140.132
1151301	140.364
1155996	140.145
1161465	140.124
1166148	140.165
1170834	140.062
1175520	140.171
1181002	140.251
1185677	140.076
1190380	140.451
1195061	140.014
1200535	140.155
1205216	140.060
1209901	140.282
1214593	140.346
1220062	140.179
1224740	140.351
1229432	140.125
1234138	139.898
1239596	140.260
1244289	140.213
1248968	139.959
1253682	140.070
1259121	139.910
1263809	140.068
1268498	140.429
1273189	140.258
1278672	140.165
1283346	140.005
1288047	140.132
1292724	140.213
1298186	139.935
1302877	140.377
1307566	139.980
1312281	140.166
1317805	140.298
1322427	140.160
1327102	140.313
1331789	140.168
1337260	139.977
1341952	137.929
1346634	116.396
1351327	82.452
1356800	58.578
1361474	49.118
1366173	53.926
1371638	54.635
1376331	55.997
1381012	54.592
1385710	53.615
1391172	53.149
1395862	53.104
1400554	53.111
1405239	52.920
1410700	53.492
1415400	53.977
1420105	56.529
1424783	57.328
1430233	56.478
1434998	55.839
1439619	54.976
1444318	54.553
1449781	54.449
1454458	54.429
1459146	54.387
1463843	56.403
1469311	72.215
1473999	87.521
1478683	106.824
1483371	118.890
1488840	136.978
1493551	138.007
1498214	139.548
1502915	139.762
1508373	139.942
1513060	139.887
1517747	139.120
1522456	139.446
1527927	139.730
1532599	139.399
1537279	139.895
1541967	139.809
1547439	139.685
1552195	139.757
1556821	139.650
1561508	139.799
1566980	139.995
1571668	139.646
1576357	139.887
1581040	139.842
1586520	139.905
1591196	139.898
1595891	139.812
1600584	139.770
1606042	140.234
1610743	139.952
1615428	139.869
1620884	139.964
1625578	140.213
1630270	140.007
1634967	139.908
1640430	140.200
1645127	140.204
1649793	140.006
1654493	139.980
1659951	139.956
1664642	140.036
1669335	140.023
1674017	139.905
1679486	139.721
1684179	139.887
1688865	140.058
1693553	139.880
1699022	140.173
1703714	140.189
1708400	139.962
1713097	139.788
1718568	139.836
1723240	140.052
1727928	140.140
1732621	139.829
1738100	139.920
1742774	139.826
1747463	139.815
1752166	139.830
1757636	139.705
1762313	139.826
1767000	139.732
1771696	139.954
1777158	139.904
1781842	140.202
1786535	139.920
1791228	140.249
1796701	140.200
1801393	140.049
1806072	140.212
1810777	139.918
1816243	140.029
1820925	139.902
1825606	140.179
1830292	140.026
1835757	140.051
1840453	139.976
1845141	140.198
1850601	139.885
1855297	139.971
1859978	139.677
1864671	139.935
1870137	139.820
1874828	140.098
1879519	140.029
1884209	140.296
1889672	140.012
1894365	139.909
1899051	140.045
1903738	140.120
1909206	140.174
1913889	140.124
1918578	139.962
1923274	139.889
1928745	139.760
1933432	140.138
1938111	140.101
1942806	139.942
1948279	140.179
1952968	140.202
1957652	139.911
1962359	140.037
1967804	139.933
1972509	139.898
1977184	140.075
1981872	139.877
1987345	139.945
1992025	140.095
1996716	139.908
2001413	139.833
2006872	139.994
2011569	139.848
2016256	139.773
2020940	139.687
2026405	139.887
2031100	140.018
2035800	140.024
2040478	139.989
2045937	140.199
2050630	140.121
2055321	140.053
2060013	139.815
2065478	139.974
2070167	139.839
2074875	139.977
2080339	139.810
2085015	140.003
2089695	139.971
2094388	140.023
2099855	139.980
2104543	140.037
2109234	139.972
2113917	139.874
2119390	139.842
2124074	140.224
2128772	139.714
2133508	139.981
2138924	139.783
2143610	140.176
2148311	139.820
2153000	140.045
2158456	140.069
2163146	136.401
2167829	112.780
2172516	82.576
2177992	58.840
2182677	53.782
2187369	53.862
2192063	53.598
2197582	52.614
2202224	51.986
2206904	51.782
2211592	52.120
2217052	51.915
2221749	51.192
2226430	50.782
2231127	61.258
2236592	64.768
2241282	66.020
2245964	65.586
2250722	59.371
2256131	59.116
2260814	53.000
2265505	89.864
2270196	101.409
2275657	121.414
2280348	136.489
2285030	139.801
2289724	139.890
2295188	139.963
2299878	139.912
2304566	139.795
2309305	140.179
2314764	139.801
2319417	139.771
2324105	140.152
2329595	139.756
2334263	139.847
2338951	139.893
2343637	139.976
2349102	140.051
2353797	139.883
2358485	140.036
2363169	139.811
2368661	139.920
2373331	139.943
2378017	139.873
2382710	139.864
2388169	139.971
2392865	140.007
2397549	139.820
2402243	139.806
2407716	140.096
2412398	139.929
2417090	139.684
2421778	139.807
2427239	139.805
2431935	140.320
2436621	139.807
2441303	140.014
2446771	139.714
2451461	140.080
2456155	140.019
2460848	139.878
2466307	139.871
2470996	139.938
2475687	139.984
2480367	139.935
2485841	139.790
2490571	139.999
2495221	139.895
2499912	139.906
2505373	140.168
2510067	140.110
2514755	139.698
2519445	140.074
2524905	140.034
2529599	140.157
2534282	139.798
2538970	140.245
2544444	140.049
2549135	139.758
2553824	139.838
2559291	139.985
2563976	139.743
2568658	139.953
2573360	139.854
2578822	140.105
2583524	139.943
2588203	139.879
2592890	139.708
2598370	139.657
2603043	139.755
2607740	139.919
2612426	139.996
2617891	139.876
2622572	139.888
2627276	139.943
2631961	139.935
2637426	139.923
2642110	139.791
2646812	139.727
2651491	139.805
2656952	139.908
2661660	139.018
2666337	136.048
2671023	133.220
2676515	122.375
2681178	102.221
2685870	83.088
2690561	65.322
2696025	53.845
2700713	48.141
2705406	43.068
2710094	46.637
2715560	51.316
2720251	57.737
2724942	57.629
2729627	54.658
2735093	51.049
2739787	49.546
2744476	49.451
2749163	50.548
2754628	71.176
