Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED Location	LED_trial_V	LED_bgnd_V	Speaker Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	
1	0	95.945	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	98.617	0.300	1	
2	0	120.841	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	122.474	0.300	1	
3	0	142.373	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.526	9	143.503	0.300	1	
4	0	165.108	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.376	9	166.402	0.300	1	
5	0	199.045	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	9	201.947	0.000	0	
6	1	205.741	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	207.179	0.150	1	
7	0	252.385	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.601	9	253.580	0.300	1	
8	0	273.166	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	275.607	0.300	1	
9	0	295.854	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	296.906	0.150	1	
10	0	310.276	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	312.003	0.300	1	
11	0	332.697	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	9	334.977	0.000	0	
12	1	337.765	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	339.490	0.150	1	
13	0	348.763	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	9	349.830	0.000	0	
14	1	352.554	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	9	355.194	0.000	0	
15	1	357.594	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	359.458	0.150	1	
16	0	368.660	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	9	370.839	0.000	0	
17	1	373.921	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	9	376.263	0.000	0	
18	1	378.383	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	379.771	0.150	1	
19	0	386.413	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	388.001	0.150	1	
20	0	394.638	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	395.753	0.150	1	
21	0	404.422	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	406.212	0.300	1	
22	0	421.463	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	422.777	0.150	1	
23	0	453.352	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	454.375	0.150	1	
24	0	469.698	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.601	9	470.895	0.300	1	
25	0	490.080	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	491.158	0.150	1	
26	0	501.003	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.526	9	502.301	0.300	1	
27	0	521.457	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.376	9	523.877	0.300	1	
28	0	599.213	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.601	9	601.053	0.300	1	
29	0	612.246	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	613.873	0.300	1	
30	0	631.121	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	9	632.475	0.000	0	
31	1	638.707	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	639.976	0.150	1	
32	0	686.536	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	3	687.617	0.150	1	
33	0	702.805	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	703.767	0.150	1	
34	0	711.411	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	712.669	0.300	1	
35	0	723.622	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.376	9	724.696	0.300	1	
36	0	741.616	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	743.999	0.300	1	
37	0	816.850	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	3	820.084	0.150	1	
38	0	825.965	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	827.868	0.150	1	
39	0	839.129	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	840.380	0.150	1	
40	0	845.939	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	847.053	0.150	1	
41	0	852.056	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	853.010	0.300	1	
42	0	860.735	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	862.706	0.300	1	
43	0	893.300	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.526	9	894.667	0.300	1	
44	0	913.584	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	914.730	0.150	1	
45	0	923.573	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	3	924.851	0.150	1	
46	0	932.007	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	9	933.960	0.000	0	
47	1	938.005	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	9	939.284	0.000	0	
48	1	993.606	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	994.943	0.150	1	
49	0	1012.465	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	1013.732	0.300	1	
50	0	1022.840	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	3	1023.889	0.150	1	
51	0	1037.285	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	1038.343	0.150	1	
