Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	24.641	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.576	3	27.097	0.000	0	255	
2	1	31.082	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.576	9	32.162	0.150	1	255	
3	0	56.674	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.614	9	58.355	0.150	1	255	
4	0	87.958	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.538	3	89.621	0.000	0	255	
5	1	93.897	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.538	9	94.915	0.150	1	255	
6	0	115.911	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.651	3	117.287	0.000	0	255	
7	1	122.663	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.651	9	123.824	0.150	1	255	
8	0	148.321	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.501	3	150.051	0.130	1	255	
9	0	170.802	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.538	3	175.431	0.130	1	255	
10	0	200.903	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.576	3	204.963	0.130	1	255	
11	0	227.355	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.614	3	229.205	0.130	1	255	
12	0	239.369	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.651	9	240.504	0.150	1	255	
13	0	266.528	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.501	3	268.521	0.130	1	255	
14	0	292.921	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.538	3	296.646	0.130	1	255	
15	0	308.322	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.651	3	310.331	0.130	1	255	
16	0	329.711	0	150	1	0.250	2	3	0.0	0.5	8	45.0	30.000	3	0.576	3	333.045	0.130	1	255	
17	0	343.046	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.614	3	344.301	0.130	1	255	
18	0	393.312	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.501	9	396.691	0.150	1	255	
19	0	425.131	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.614	3	426.964	0.000	0	255	
20	1	431.933	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.614	9	432.815	0.180	1	255	
21	0	463.436	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.651	3	464.225	0.000	0	255	
22	1	502.069	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.651	9	505.168	0.190	1	255	
23	0	537.226	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.501	3	539.144	0.000	0	255	
24	1	559.465	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.501	3	561.342	0.000	0	255	
25	1	566.044	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.501	9	567.272	0.190	1	255	
26	0	590.085	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.538	3	591.835	0.115	1	255	
27	0	640.809	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.576	9	643.554	0.190	1	255	
28	0	680.603	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.501	3	682.390	0.000	0	255	
29	1	698.357	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.501	9	701.819	0.190	1	255	
30	0	726.354	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.651	9	727.969	0.190	1	255	
