Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED Location	LED_trial_V	LED_bgnd_V	Speaker Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	
1	0	110.053	0	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	3	112.039	0.000	0	
2	1	116.696	0	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	118.813	0.250	1	
3	0	129.814	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.501	9	131.158	0.250	1	
4	0	142.225	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	9	144.777	0.000	0	
5	1	150.668	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.351	3	153.496	0.150	1	
6	0	159.206	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.351	9	161.071	0.250	1	
7	0	171.424	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.501	9	173.857	0.250	1	
8	0	184.497	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	9	186.316	0.000	0	
9	1	193.117	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	197.342	0.150	1	
10	0	206.934	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	208.288	0.150	1	
11	0	214.144	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.501	9	215.998	0.250	1	
12	0	225.250	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	226.578	0.150	1	
13	0	232.134	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	233.678	0.250	1	
14	0	243.772	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	9	245.023	0.000	0	
15	1	251.926	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.351	9	253.637	0.000	0	
16	1	258.972	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	3	260.920	0.150	1	
17	0	267.377	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	268.382	0.150	1	
