Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	35.916	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	36.544	0.140	1	255	
2	0	42.325	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.751	9	42.854	0.140	1	255	
3	0	46.390	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.651	3	47.128	0.140	1	255	
4	0	50.567	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.601	3	51.300	0.140	1	255	
5	0	55.071	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.701	3	55.414	0.140	1	255	
6	0	58.839	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.601	3	59.476	0.140	1	255	
7	0	63.372	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.801	9	63.921	0.140	1	255	
8	0	67.890	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	3	68.481	0.000	0	255	
9	1	72.631	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.751	9	73.113	0.140	1	255	
10	0	76.840	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.701	9	77.309	0.000	0	255	
11	1	82.503	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.601	3	83.264	0.140	1	255	
12	0	89.301	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	89.994	0.140	1	255	
13	0	94.064	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.751	3	94.570	0.000	0	255	
14	1	98.767	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.701	9	99.326	0.140	1	255	
15	0	102.947	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.651	3	103.665	0.140	1	255	
16	0	107.262	0	120	1	0.250	2	9	0.0	1.0	3	48.0	20.000	9	0.801	9	107.654	0.140	1	255	
17	0	110.920	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.601	9	111.714	0.140	1	255	
18	0	115.110	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.701	9	115.943	0.140	1	255	
19	0	119.371	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	3	120.350	0.000	0	255	
20	1	124.206	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.751	9	124.738	0.140	1	255	
21	0	128.148	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.601	9	128.777	0.000	0	255	
22	1	138.746	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.751	3	139.521	0.140	1	255	
23	0	142.507	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.651	3	143.115	0.140	1	255	
24	0	146.340	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.701	9	146.823	0.140	1	255	
25	0	150.157	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.801	9	150.822	0.140	1	255	
26	0	154.379	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.751	3	155.527	0.140	1	255	
27	0	158.436	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.601	9	159.568	0.000	0	255	
28	1	164.808	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.701	3	165.702	0.140	1	255	
29	0	168.816	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	9	169.199	0.140	1	255	
30	0	172.602	0	120	1	0.250	2	9	0.0	1.0	12	48.0	20.000	9	0.801	3	173.554	0.000	0	255	
31	0	176.829	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.651	3	177.733	0.140	1	255	
32	0	181.139	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.801	9	181.628	0.140	1	255	
33	0	184.991	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.601	9	185.717	0.140	1	255	
34	0	189.233	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.751	3	190.327	0.140	1	255	
35	0	193.648	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.701	3	194.244	0.140	1	255	
36	0	197.152	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.601	3	198.127	0.140	1	255	
37	0	201.684	0	120	1	0.250	2	9	0.0	1.0	1	48.0	20.000	9	0.701	3	202.645	0.000	0	255	
38	0	206.006	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	9	206.467	0.140	1	255	
39	0	210.091	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.751	3	210.969	0.140	1	255	
40	0	214.563	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	216.278	0.140	1	255	
41	0	219.803	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	3	220.863	0.000	0	255	
42	1	225.191	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.601	9	225.987	0.140	1	255	
43	0	229.894	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	231.299	0.140	1	255	
44	0	234.780	0	120	1	0.250	2	3	0.0	1.0	10	48.0	20.000	3	0.701	9	235.501	0.000	0	255	
45	0	238.858	0	120	1	0.250	2	9	0.0	1.0	8	48.0	20.000	9	0.751	9	239.623	0.140	1	255	
46	0	242.929	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.701	9	243.699	0.140	1	255	
47	0	247.153	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.601	9	248.253	0.140	1	255	
48	0	251.741	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	9	252.725	0.000	0	255	
49	1	258.325	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.751	3	259.058	0.140	1	255	
50	0	262.476	0	120	1	0.250	2	3	0.0	1.0	1	48.0	20.000	3	0.651	3	263.181	0.140	1	255	
51	0	266.444	0	120	1	0.250	2	9	0.0	1.0	3	48.0	20.000	9	0.601	3	267.445	0.000	0	255	
52	0	270.526	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	272.004	0.140	1	255	
53	0	275.480	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.701	9	276.052	0.140	1	255	
54	0	279.756	0	120	1	0.250	2	3	0.0	1.0	9	48.0	20.000	3	0.751	3	281.275	0.140	1	255	
55	0	284.648	0	120	1	0.250	2	3	0.0	1.0	6	48.0	20.000	3	0.651	9	285.306	0.000	0	255	
56	0	289.221	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	290.056	0.140	1	255	
