Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	101.782	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.601	3	102.932	0.120	1	255	
2	0	114.811	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	9	117.231	0.130	1	255	
3	0	122.796	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.526	9	124.727	0.130	1	255	
4	0	138.117	1	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.451	3	145.369	0.000	0	255	
5	1	151.427	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.451	9	153.248	0.130	1	255	
6	0	169.278	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.564	9	171.042	0.130	1	255	
7	0	181.733	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.488	3	183.693	0.120	1	255	
8	0	187.565	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.451	3	189.287	0.120	1	255	
9	0	193.343	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.601	3	195.332	0.120	1	255	
10	0	199.220	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.564	9	201.160	0.130	1	255	
11	0	209.254	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.526	3	211.270	0.120	1	255	
12	0	215.517	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	9	217.770	0.130	1	255	
13	0	264.924	1	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.564	3	272.158	0.120	1	255	
14	0	278.021	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.526	3	281.361	0.120	1	255	
15	0	285.133	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.601	3	286.938	0.120	1	255	
16	0	291.421	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.451	3	293.894	0.120	1	255	
17	0	297.732	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.564	9	299.630	0.130	1	255	
18	0	306.060	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.601	3	308.510	0.000	0	255	
19	1	315.258	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.601	9	317.046	0.130	1	255	
20	0	331.437	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.451	9	333.444	0.135	1	255	
21	0	344.126	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.526	9	346.738	0.000	0	255	
22	1	357.490	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.526	3	359.097	0.120	1	255	
23	0	362.876	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	9	367.800	0.135	1	255	
24	0	381.508	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.488	3	383.247	0.120	1	255	
