Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	16.467	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	16.703	0.140	1	255	
2	0	19.793	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	9	20.065	0.000	0	255	
3	1	30.020	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	9	32.491	0.000	0	255	
4	1	38.056	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	38.826	0.140	1	255	
5	0	41.642	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	41.946	0.140	1	255	
6	0	45.529	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	45.815	0.140	1	255	
7	0	49.550	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	9	50.072	0.140	1	255	
8	0	53.600	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	54.408	0.140	1	255	
9	0	57.359	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	57.715	0.140	1	255	
10	0	60.694	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	61.242	0.140	1	255	
11	0	64.287	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	9	64.661	0.000	0	255	
12	1	69.873	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	9	70.250	0.000	0	255	
13	1	74.016	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	9	74.869	0.000	0	255	
14	1	80.476	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	81.069	0.140	1	255	
15	0	83.542	0	-150	1	0.250	2	9	0.0	0.0	8	45.0	30.000	9	0.501	3	84.053	0.000	0	255	
16	0	87.167	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	87.671	0.140	1	255	
17	0	90.248	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	90.497	0.140	1	255	
18	0	93.529	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	93.936	0.140	1	255	
19	0	99.039	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	99.823	0.140	1	255	
20	0	110.035	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	110.631	0.140	1	255	
21	0	114.611	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	115.730	0.140	1	255	
22	0	125.407	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	125.729	0.140	1	255	
23	0	128.496	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	129.081	0.140	1	255	
24	0	131.710	0	-150	1	0.250	2	9	0.0	0.0	8	45.0	30.000	9	0.538	3	132.205	0.000	0	255	
25	0	135.300	1	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	138.268	0.140	1	255	
26	0	140.605	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	9	141.401	0.000	0	255	
27	1	148.207	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	148.473	0.140	1	255	
28	0	150.857	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	151.328	0.140	1	255	
29	0	153.904	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	154.608	0.140	1	255	
30	0	156.791	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	157.447	0.140	1	255	
31	0	160.434	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	160.960	0.140	1	255	
32	0	163.293	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	164.461	0.140	1	255	
33	0	168.912	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	3	169.511	0.140	1	255	
34	0	172.269	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	172.713	0.140	1	255	
35	0	175.352	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	176.022	0.140	1	255	
36	0	185.178	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	185.403	0.140	1	255	
37	0	188.375	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	3	188.745	0.000	0	255	
38	1	192.945	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	193.286	0.140	1	255	
39	0	196.096	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	9	196.532	0.000	0	255	
40	1	211.305	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	211.558	0.140	1	255	
41	0	213.804	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	214.054	0.140	1	255	
42	0	216.675	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	217.093	0.140	1	255	
43	0	219.418	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	219.820	0.140	1	255	
44	0	222.471	0	-150	1	0.250	2	9	0.0	0.0	2	45.0	30.000	9	0.614	3	223.117	0.000	0	255	
45	0	226.231	0	-150	1	0.250	2	9	0.0	0.0	7	45.0	30.000	9	0.651	3	226.500	0.000	0	255	
46	0	229.260	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	229.493	0.140	1	255	
47	0	232.117	0	-150	1	0.250	2	9	0.0	0.0	7	45.0	30.000	9	0.538	3	232.740	0.000	0	255	
48	0	235.434	0	-150	1	0.250	2	3	0.0	0.0	9	45.0	30.000	3	0.614	9	235.996	0.000	0	255	
49	0	239.032	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	9	239.474	0.140	1	255	
50	0	242.294	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	242.780	0.140	1	255	
51	0	245.887	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	246.320	0.140	1	255	
52	0	248.530	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	9	249.006	0.000	0	255	
53	1	253.363	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	253.876	0.140	1	255	
54	0	258.406	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	9	258.901	0.140	1	255	
55	0	261.191	0	-150	1	0.250	2	3	0.0	0.0	6	45.0	30.000	3	0.501	3	261.909	0.140	1	255	
56	0	264.579	0	-150	1	0.250	2	9	0.0	0.0	2	45.0	30.000	9	0.651	9	265.156	0.140	1	255	
57	0	268.086	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	3	268.425	0.000	0	255	
58	1	277.164	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	277.568	0.140	1	255	
59	0	280.138	0	-150	1	0.250	2	9	0.0	0.0	10	45.0	30.000	9	0.538	3	280.768	0.000	0	255	
60	0	283.114	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	283.397	0.140	1	255	
61	0	286.643	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	287.277	0.140	1	255	
62	0	290.742	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	9	291.123	0.000	0	255	
63	1	298.209	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	298.690	0.140	1	255	
64	0	301.450	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	302.487	0.140	1	255	
65	0	305.940	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	306.186	0.140	1	255	
66	0	311.268	0	-150	1	0.250	2	3	0.0	0.0	8	45.0	30.000	3	0.614	3	312.052	0.140	1	255	
67	0	315.882	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	316.190	0.140	1	255	
68	0	318.467	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	9	318.683	0.000	0	255	
69	1	324.500	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	325.277	0.140	1	255	
70	0	327.716	1	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	330.627	0.140	1	255	
71	0	332.802	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	334.113	0.140	1	255	
72	0	336.685	0	-150	1	0.250	2	3	0.0	0.0	8	45.0	30.000	3	0.651	9	337.080	0.000	0	255	
73	0	339.105	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	339.479	0.140	1	255	
74	0	342.255	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	9	342.909	0.000	0	255	
75	1	349.004	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	349.713	0.140	1	255	
76	0	351.975	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	9	352.349	0.000	0	255	
77	1	360.011	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	360.775	0.140	1	255	
78	0	363.807	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	9	364.038	0.000	0	255	
79	1	371.572	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	9	371.971	0.000	0	255	
80	1	376.303	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	376.697	0.140	1	255	
81	0	381.393	0	-150	1	0.250	2	3	0.0	0.0	12	45.0	30.000	3	0.651	9	381.825	0.000	0	255	
82	0	383.838	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	384.210	0.140	1	255	
83	0	386.779	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	387.232	0.140	1	255	
84	0	389.462	0	-150	1	0.250	2	3	0.0	0.0	10	45.0	30.000	3	0.538	3	389.883	0.140	1	255	
85	0	392.335	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	3	393.304	0.000	0	255	
86	1	397.189	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	397.585	0.140	1	255	
87	0	399.740	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	400.348	0.140	1	255	
88	0	402.810	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	403.372	0.140	1	255	
89	0	405.962	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	406.298	0.140	1	255	
90	0	408.825	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	409.269	0.140	1	255	
91	0	411.539	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	9	411.871	0.140	1	255	
92	0	414.807	0	-150	1	0.250	2	9	0.0	0.0	3	45.0	30.000	9	0.538	9	415.139	0.140	1	255	
93	0	420.800	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	422.538	0.140	1	255	
94	0	425.690	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	3	426.279	0.140	1	255	
95	0	428.468	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	428.747	0.140	1	255	
96	0	431.144	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	431.756	0.140	1	255	
97	0	435.673	0	-150	1	0.250	2	9	0.0	0.0	3	45.0	30.000	9	0.538	9	436.175	0.140	1	255	
98	0	439.358	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	9	439.866	0.000	0	255	
99	1	447.666	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	448.393	0.140	1	255	
100	0	451.211	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	9	451.872	0.000	0	255	
101	1	458.313	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	458.879	0.140	1	255	
102	0	461.217	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	461.491	0.140	1	255	
103	0	464.520	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	465.118	0.140	1	255	
104	0	467.640	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	9	468.325	0.000	0	255	
105	1	479.037	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	479.464	0.140	1	255	
