Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	19.400	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.551	3	21.264	0.120	1	255	
2	0	31.184	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	3	32.553	0.120	1	255	
3	0	43.617	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	9	45.232	0.000	0	255	
4	1	52.011	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	55.219	0.120	1	255	
5	0	61.882	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	63.859	0.120	1	255	
6	0	71.504	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	3	73.779	0.000	0	255	
7	1	78.955	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	80.450	0.180	1	255	
8	0	101.594	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	103.274	0.180	1	255	
9	0	146.521	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	147.921	0.180	1	255	
10	0	167.259	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.501	9	168.880	0.180	1	255	
11	0	184.754	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.551	3	186.810	0.120	1	255	
12	0	193.270	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	195.694	0.180	1	255	
13	0	211.557	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	213.508	0.180	1	255	
14	0	230.978	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	233.587	0.180	1	255	
15	0	250.451	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.501	9	252.637	0.180	1	255	
16	0	269.620	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	271.362	0.180	1	255	
17	0	287.676	1	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	297.964	0.120	1	255	
18	0	305.068	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	3	307.292	0.120	1	255	
19	0	313.201	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	315.674	0.120	1	255	
20	0	323.469	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	325.364	0.120	1	255	
21	0	330.726	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	3	332.613	0.000	0	255	
22	1	337.748	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	340.510	0.180	1	255	
23	0	357.862	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	9	359.726	0.000	0	255	
24	1	370.242	1	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	377.673	0.120	1	255	
25	0	384.332	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	386.790	0.180	1	255	
26	0	402.413	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	404.529	0.120	1	255	
