Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	10.423	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.551	3	11.904	0.150	1	255	
2	0	17.661	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.526	3	19.050	0.000	0	255	
3	1	31.860	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	3	33.771	0.000	0	255	
4	1	38.221	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	39.122	0.150	1	255	
5	0	42.492	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.601	3	43.502	0.150	1	255	
6	0	46.347	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	47.144	0.150	1	255	
7	0	50.813	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	51.415	0.150	1	255	
8	0	55.915	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.526	3	56.833	0.000	0	255	
9	1	61.914	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.601	9	62.623	0.150	1	255	
10	0	66.123	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.551	3	66.366	0.150	1	255	
11	0	70.327	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.526	3	71.189	0.150	1	255	
12	0	79.508	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.551	9	80.265	0.150	1	255	
13	0	87.522	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	88.155	0.150	1	255	
14	0	91.808	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	3	92.785	0.000	0	255	
15	1	106.987	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.601	9	107.817	0.150	1	255	
16	0	111.247	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.601	3	112.324	0.150	1	255	
17	0	115.666	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.526	9	116.417	0.150	1	255	
18	0	119.421	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	120.008	0.150	1	255	
19	0	123.306	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	3	124.086	0.000	0	255	
20	1	127.730	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.551	9	128.458	0.150	1	255	
21	0	131.472	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.526	3	132.109	0.150	1	255	
