ferret,swap,name,datetime,nCorrect,nTrials
F1701_Pendleton,2,11_06_2020 level53_Pendleton 18_58_01.629 Block_J8-68.txt,2020-06-11 18:58:01,32,41
F1701_Pendleton,2,11_06_2020 level53_Pendleton 12_55_55.984 Block_J8-67.txt,2020-06-11 12:55:55,17,25
F1701_Pendleton,3,07_10_2020 level54_Pendleton 18_32_30.782 Block_J8-172.txt,2020-10-07 18:32:30,35,44
F1701_Pendleton,3,07_10_2020 level54_Pendleton 13_11_12.963 Block_J8-171.txt,2020-10-07 13:11:12,34,48
F1701_Pendleton,1,21_08_2018 level53_Pendleton 09_34_17.869 Block_J5-263.txt,2018-08-21 09:34:17,33,41
F1701_Pendleton,1,21_08_2018 level53_Pendleton 14_54_13.121 Block_J5-264.txt,2018-08-21 14:54:13,36,42
F1703_Grainger,1,21_08_2018 level53_Granger 14_31_09.517 Block_J5-249.txt,2018-08-21 14:31:09,48,74
F1703_Grainger,1,21_08_2018 level53_Granger 09_15_53.206 Block_J5-248.txt,2018-08-21 09:15:53,45,62
F1811_Dory,2,07_10_2020 level54_Dory 18_03_17.525 Block_J8-204.txt,2020-10-07 18:03:17,39,47
F1811_Dory,2,07_10_2020 level54_Dory 12_39_37.529 Block_J8-203.txt,2020-10-07 12:39:37,42,47
F1811_Dory,1,11_06_2020 level54_Dory 17_53_24.498 Block_J8-78.txt,2020-06-11 17:53:24,22,24
F1811_Dory,1,11_06_2020 level54_Dory 12_17_59.808 Block_J8-77.txt,2020-06-11 12:17:59,19,22
F1902_Eclair,2,28_10_2020 level54_Eclair 17_22_19.903 Block_J8-228.txt,2020-10-28 17:22:19,72,83
F1902_Eclair,2,29_10_2020 level54_Eclair 12_04_22.660 Block_J8-229.txt,2020-10-29 12:04:22,66,84
F1902_Eclair,3,29_10_2020 level54_Eclair 17_26_53.369 Block_J8-230.txt,2020-10-29 17:26:53,34,46
F1902_Eclair,3,30_10_2020 level54_Eclair 12_24_57.234 Block_J8-231.txt,2020-10-30 12:24:57,51,59
F1902_Eclair,1,27_10_2020 level54_Eclair 16_46_41.665 Block_J8-225.txt,2020-10-27 16:46:41,61,77
F1902_Eclair,1,28_10_2020 level54_Eclair 12_20_25.020 Block_J8-227.txt,2020-10-28 12:20:25,63,82
F1810_Ursula,2,30_10_2020 level55_Ursula 10_51_45.614 Block_J8-214.txt,2020-10-30 10:51:45,154,194
F1810_Ursula,2,29_10_2020 level55_Ursula 16_16_33.208 Block_J8-213.txt,2020-10-29 16:16:33,83,118
F1810_Ursula,1,07_10_2020 level55_Ursula 17_44_31.540 Block_J8-189.txt,2020-10-07 17:44:31,42,72
F1810_Ursula,1,07_10_2020 level55_Ursula 12_10_15.838 Block_J8-188.txt,2020-10-07 12:10:15,75,121
F1901_Crumble,2,29_10_2020 level55_Crumble 11_09_55.000 Block_J8-144.txt,2020-10-29 11:09:55,75,92
F1901_Crumble,2,28_10_2020 level55_Crumble 16_36_24.761 Block_J8-143.txt,2020-10-28 16:36:24,80,97
F1901_Crumble,3,30_10_2020 level55_Crumble 11_24_35.173 Block_J8-146.txt,2020-10-30 11:24:35,109,146
F1901_Crumble,3,29_10_2020 level55_Crumble 16_44_33.431 Block_J8-145.txt,2020-10-29 16:44:33,68,98
F1901_Crumble,1,28_10_2020 level55_Crumble 11_23_36.522 Block_J8-142.txt,2020-10-28 11:23:36,75,95
F1901_Crumble,1,27_10_2020 level55_Crumble 16_28_37.206 Block_J8-141.txt,2020-10-27 16:28:37,62,79
F1905_Sponge,2,28_10_2020 level55_Sponge 17_04_22.811 Block_J8-131.txt,2020-10-28 17:04:22,73,96
F1905_Sponge,2,29_10_2020 level55_Sponge 11_34_43.436 Block_J8-132.txt,2020-10-29 11:34:43,124,166
F1905_Sponge,3,30_10_2020 level55_Sponge 11_54_41.322 Block_J8-134.txt,2020-10-30 11:54:41,127,160
F1905_Sponge,3,29_10_2020 level55_Sponge 17_10_07.099 Block_J8-133.txt,2020-10-29 17:10:07,54,77
F1905_Sponge,1,28_10_2020 level55_Sponge 11_52_20.512 Block_J8-130.txt,2020-10-28 11:52:20,93,132
F1905_Sponge,1,27_10_2020 level55_Sponge 16_07_19.124 Block_J8-129.txt,2020-10-27 16:07:19,41,56
