,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
126,1,0,34.717,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,1.061,0.0,36.091,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 15:56:12.717,0.25,90,-180,120,30,1
127,2,0,60.302,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.5660000000000001,0.0,61.721,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 15:56:38.302,0.25,90,-180,120,30,1
128,3,0,120.715,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.401,0.0,122.698,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 15:57:38.715,0.25,90,-180,120,30,1
129,4,0,160.79399999999995,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.8959999999999999,0.0,163.026,0.0,0,2018-03-15 15:55:38.000,64,2018-03-15 15:58:18.794,0.25,90,0,-60,30,1
130,6,0,214.081,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,1.061,1.0,216.985,0.22,1,2018-03-15 15:55:38.000,64,2018-03-15 15:59:12.081,0.25,-90,0,-60,-150,1
131,7,0,248.554,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.401,0.0,253.08,0.0,0,2018-03-15 15:55:38.000,64,2018-03-15 15:59:46.554,0.25,90,0,-60,30,1
132,9,0,317.983,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.5660000000000001,1.0,319.819,0.22,1,2018-03-15 15:55:38.000,64,2018-03-15 16:00:55.983,0.25,-90,0,-60,-150,1
133,10,0,352.015,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.8959999999999999,1.0,354.505,0.22,1,2018-03-15 15:55:38.000,64,2018-03-15 16:01:30.015,0.25,-90,0,-60,-150,1
134,11,0,420.411,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.401,1.0,424.776,0.22,1,2018-03-15 15:55:38.000,64,2018-03-15 16:02:38.411,0.25,-90,0,-60,-150,1
135,12,0,453.644,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.8959999999999999,0.0,455.591,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 16:03:11.644,0.25,90,-180,120,30,1
195,1,0,28.36,0,0,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.8009999999999999,0.0,29.482,0.2,1,2018-03-16 10:35:14.000,173,2018-03-16 10:35:42.360,0.25,90,-180,-180,90,1
196,2,0,54.608,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.501,1.0,56.488,0.2,1,2018-03-16 10:35:14.000,173,2018-03-16 10:36:08.608,0.25,-90,0,0,-90,1
197,3,0,91.569,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.731,1.0,93.158,0.2,1,2018-03-16 10:35:14.000,173,2018-03-16 10:36:45.569,0.25,-90,0,0,-90,1
198,4,0,122.597,0,0,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.5660000000000001,1.0,126.016,0.0,0,2018-03-16 10:35:14.000,173,2018-03-16 10:37:16.597,0.25,-90,-180,-180,-90,1
199,6,0,153.528,0,0,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,1.061,0.0,154.866,0.2,1,2018-03-16 10:35:14.000,173,2018-03-16 10:37:47.528,0.25,90,-180,-180,90,1
200,7,0,185.884,0,0,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.401,1.0,188.329,0.2,1,2018-03-16 10:35:14.000,173,2018-03-16 10:38:19.884,0.25,-90,0,0,-90,1
