,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
185,71,0,2195.38,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.5660000000000001,1.0,2197.77,0.22,1,2018-03-15 15:55:38.000,64,2018-03-15 16:32:13.380,0.25,-90,0,-60,-150,1
186,72,0,2213.837,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,1.061,0.0,2215.127,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 16:32:31.837,0.25,90,-180,120,30,1
187,73,0,2223.032,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.401,1.0,2229.17,0.22,1,2018-03-15 15:55:38.000,64,2018-03-15 16:32:41.032,0.25,-90,0,-60,-150,1
188,74,0,2254.608,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.8959999999999999,0.0,2256.092,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 16:33:12.608,0.25,90,-180,120,30,1
189,75,0,2267.837,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.731,0.0,2270.416,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 16:33:25.837,0.25,90,-180,120,30,1
190,76,0,2284.62,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,1.061,0.0,2285.911,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 16:33:42.620,0.25,90,-180,120,30,1
191,77,0,2296.784,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.8959999999999999,0.0,2298.411,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 16:33:54.784,0.25,90,-180,120,30,1
192,78,0,2310.203,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.731,0.0,2313.53,0.0,0,2018-03-15 15:55:38.000,64,2018-03-15 16:34:08.203,0.25,90,0,-60,30,1
193,80,0,2331.97,0,60,1,0.25,2,3,0.0,1.0,12,45.0,30.0,3,0.5660000000000001,0.0,2333.208,0.18,1,2018-03-15 15:55:38.000,64,2018-03-15 16:34:29.970,0.25,90,-180,120,30,1
194,81,0,2342.638,0,60,1,0.25,2,9,0.0,1.0,6,45.0,30.0,9,0.5660000000000001,0.0,2344.024,0.0,0,2018-03-15 15:55:38.000,64,2018-03-15 16:34:40.638,0.25,90,0,-60,30,1
