,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
34,1,0,24.015,0,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.991,0.0,26.25,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 14:54:47.015,0.15,90,-180,90,0,1
35,2,0,46.302,1,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.861,1.0,52.216,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 14:55:09.302,0.15,-90,0,-90,-180,1
36,3,0,72.391,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.731,0.0,76.557,0.0,0,2018-02-13 14:54:23.000,158,2018-02-13 14:55:35.391,0.15,90,0,-90,0,1
37,5,0,120.217,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,1.121,1.0,131.643,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 14:56:23.217,0.15,-90,0,-90,-180,1
38,6,0,143.786,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.731,0.0,148.12,0.0,0,2018-02-13 14:54:23.000,158,2018-02-13 14:56:46.786,0.15,90,0,-90,0,1
39,8,0,176.27,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.991,1.0,178.52700000000004,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 14:57:19.270,0.15,-90,0,-90,-180,1
40,9,0,201.327,0,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.861,0.0,203.496,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 14:57:44.327,0.15,90,-180,90,0,1
41,10,0,219.723,0,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.601,1.0,222.899,0.0,0,2018-02-13 14:54:23.000,158,2018-02-13 14:58:02.723,0.15,-90,-180,90,-180,1
42,12,0,265.793,0,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.601,0.0,267.498,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 14:58:48.793,0.15,90,-180,90,0,1
43,13,0,290.029,0,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.991,1.0,292.175,0.0,0,2018-02-13 14:54:23.000,158,2018-02-13 14:59:13.029,0.15,-90,-180,90,-180,1
82,1,0,51.11,0,-30,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.731,0.0,53.16,0.2,1,2018-02-16 15:00:36.000,17,2018-02-16 15:01:27.110,0.15,90,-180,-150,120,1
83,2,0,72.128,0,-30,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.601,1.0,74.062,0.2,1,2018-02-16 15:00:36.000,17,2018-02-16 15:01:48.128,0.15,-90,0,30,-60,1
84,3,0,92.473,0,-30,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.861,0.0,94.93,0.2,1,2018-02-16 15:00:36.000,17,2018-02-16 15:02:08.473,0.15,90,-180,-150,120,1
