,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
72,62,0,1641.92,0,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.861,0.0,1644.379,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 15:21:44.920,0.15,90,-180,90,0,1
73,63,0,1666.006,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.601,1.0,1672.34,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 15:22:09.006,0.15,-90,0,-90,-180,1
74,64,0,1716.0220000000004,1,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.991,0.0,1725.454,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 15:22:59.022,0.15,90,-180,90,0,1
75,65,0,1739.804,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.731,0.0,1742.394,0.0,0,2018-02-13 14:54:23.000,158,2018-02-13 15:23:22.804,0.15,90,0,-90,0,1
76,67,0,1767.591,1,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.861,0.0,1770.332,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 15:23:50.591,0.15,90,-180,90,0,1
77,68,0,1802.603,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.991,0.0,1806.331,0.0,0,2018-02-13 14:54:23.000,158,2018-02-13 15:24:25.603,0.15,90,0,-90,0,1
78,73,0,1882.026,0,90,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,1.121,0.0,1886.867,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 15:25:45.026,0.15,90,-180,90,0,1
79,74,0,1899.229,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.601,0.0,1906.03,0.0,0,2018-02-13 14:54:23.000,158,2018-02-13 15:26:02.229,0.15,90,0,-90,0,1
80,76,0,1928.144,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.731,1.0,1930.173,0.2,1,2018-02-13 14:54:23.000,158,2018-02-13 15:26:31.144,0.15,-90,0,-90,-180,1
81,77,0,1957.108,0,90,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.601,0.0,1960.524,0.0,0,2018-02-13 14:54:23.000,158,2018-02-13 15:27:00.108,0.15,90,0,-90,0,1
129,73,0,1592.644,0,-30,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,1.121,0.0,1594.0179999999998,0.2,1,2018-02-16 15:00:36.000,17,2018-02-16 15:27:08.644,0.15,90,-180,-150,120,1
130,74,0,1617.401,0,-30,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.861,1.0,1620.066,0.2,1,2018-02-16 15:00:36.000,17,2018-02-16 15:27:33.401,0.15,-90,0,30,-60,1
131,75,0,1633.432,0,-30,1,0.15,2,9,0.0,1.0,6,40.0,30.0,9,0.991,0.0,1635.114,0.0,0,2018-02-16 15:00:36.000,17,2018-02-16 15:27:49.432,0.15,90,0,30,120,1
132,77,0,1669.067,0,-30,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.861,0.0,1670.614,0.2,1,2018-02-16 15:00:36.000,17,2018-02-16 15:28:25.067,0.15,90,-180,-150,120,1
133,78,0,1686.7910000000004,0,-30,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,0.991,0.0,1687.8270000000002,0.2,1,2018-02-16 15:00:36.000,17,2018-02-16 15:28:42.791,0.15,90,-180,-150,120,1
134,79,0,1746.781,0,-30,1,0.15,2,3,0.0,1.0,12,40.0,30.0,3,1.121,0.0,1748.126,0.2,1,2018-02-16 15:00:36.000,17,2018-02-16 15:29:42.781,0.15,90,-180,-150,120,1
