,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
654,1,0,18.796,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.763,0.0,17.476,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:30:26.796,0.25,90,150,90,30,1
655,2,0,26.748,1,60,1,0.25,2,9,0.0,1.0,7,48.0,20.0,9,0.951,1.0,28.216,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:30:34.748,0.25,-90,-30,-90,-150,1
656,3,0,29.894,1,60,1,0.25,2,9,0.0,1.0,7,48.0,20.0,9,0.701,1.0,32.986,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:30:37.894,0.25,-90,-30,-90,-150,1
657,4,0,34.396,0,60,1,0.25,2,9,0.0,1.0,7,48.0,20.0,9,0.888,0.0,35.50199999999999,0.0,0,2019-05-31 08:30:08.000,90,2019-05-31 08:30:42.396,0.25,90,-30,-90,30,1
658,6,0,50.256,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.826,0.0,50.828,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:30:58.256,0.25,90,150,90,30,1
659,7,0,54.735,1,60,1,0.25,2,9,0.0,1.0,7,48.0,20.0,9,0.826,1.0,54.822,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:31:02.735,0.25,-90,-30,-90,-150,1
660,8,0,56.621,1,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.951,0.0,58.709,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:31:04.621,0.25,90,150,90,30,1
661,9,0,59.968,0,60,1,0.25,2,9,0.0,1.0,7,48.0,20.0,9,0.701,1.0,61.591,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:31:07.968,0.25,-90,-30,-90,-150,1
662,10,0,63.026,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.888,0.0,64.00399999999999,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:31:11.026,0.25,90,150,90,30,1
663,11,0,67.531,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.763,1.0,67.961,0.0,0,2019-05-31 08:30:08.000,90,2019-05-31 08:31:15.531,0.25,-90,150,90,-150,1
817,1,0,28.278,0,30,1,0.25,2,3,0.0,1.0,2,48.0,20.0,3,0.763,1.0,32.519,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 14:46:55.278,0.25,-90,120,90,-120,1
818,3,0,40.049,1,30,1,0.25,2,3,0.0,1.0,2,48.0,20.0,3,0.888,0.0,40.488,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 14:47:07.049,0.25,90,120,90,60,1
819,4,0,41.877,1,30,1,0.25,2,3,0.0,1.0,2,48.0,20.0,3,0.701,0.0,42.76300000000001,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 14:47:08.877,0.25,90,120,90,60,1
820,5,0,44.32100000000001,0,30,1,0.25,2,3,0.0,1.0,2,48.0,20.0,3,0.951,1.0,47.762,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 14:47:11.321,0.25,-90,120,90,-120,1
821,7,0,70.563,1,30,1,0.25,2,3,0.0,1.0,2,48.0,20.0,3,0.826,0.0,71.232,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 14:47:37.563,0.25,90,120,90,60,1
822,8,0,72.763,0,30,1,0.25,2,3,0.0,1.0,2,48.0,20.0,3,0.826,1.0,74.068,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 14:47:39.763,0.25,-90,120,90,-120,1
823,10,0,86.756,1,30,1,0.25,2,3,0.0,1.0,2,48.0,20.0,3,0.888,0.0,87.345,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 14:47:53.756,0.25,90,120,90,60,1
824,11,0,88.73299999999998,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.763,0.0,91.335,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 14:47:55.733,0.25,90,-60,-90,60,1
825,13,0,100.221,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.951,1.0,100.737,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 14:48:07.221,0.25,-90,-60,-90,-120,1
826,14,0,102.451,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.701,0.0,102.906,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 14:48:09.451,0.25,90,-60,-90,60,1
1014,1,0,22.934,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.763,1.0,24.859,0.0,0,2019-06-03 07:19:06.000,25,2019-06-03 07:19:28.934,0.25,-90,-180,90,-180,1
1015,3,0,36.283,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.888,0.0,37.102,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:19:42.283,0.25,90,-180,90,0,1
