,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
807,201,0,1041.768,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.888,0.0,1043.839,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:47:29.768,0.25,90,150,90,30,1
808,202,0,1047.79,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.701,0.0,1048.65,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:47:35.790,0.25,90,150,90,30,1
809,203,0,1052.588,1,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.888,0.0,1054.266,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:47:40.588,0.25,90,150,90,30,1
810,204,0,1055.691,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.701,1.0,1057.476,0.0,0,2019-05-31 08:30:08.000,90,2019-05-31 08:47:43.691,0.25,-90,150,90,-150,1
811,206,0,1078.233,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.951,0.0,1078.4589999999996,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:48:06.233,0.25,90,150,90,30,1
812,207,0,1081.937,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.763,0.0,1082.582,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:48:09.937,0.25,90,150,90,30,1
813,208,0,1085.838,0,60,1,0.25,2,9,0.0,1.0,7,48.0,20.0,9,0.826,0.0,1087.207,0.0,0,2019-05-31 08:30:08.000,90,2019-05-31 08:48:13.838,0.25,90,-30,-90,30,1
814,210,0,1095.1,0,60,1,0.25,2,9,0.0,1.0,7,48.0,20.0,9,0.701,1.0,1096.852,0.15,1,2019-05-31 08:30:08.000,90,2019-05-31 08:48:23.100,0.25,-90,-30,-90,-150,1
815,211,0,1104.438,0,60,1,0.25,2,3,0.0,1.0,1,48.0,20.0,3,0.888,1.0,1105.29,0.0,0,2019-05-31 08:30:08.000,90,2019-05-31 08:48:32.438,0.25,-90,150,90,-150,1
816,213,0,1113.311,0,60,1,0.25,2,9,0.0,1.0,7,48.0,20.0,9,0.763,0.0,1115.149,0.0,0,2019-05-31 08:30:08.000,90,2019-05-31 08:48:41.311,0.25,90,-30,-90,30,1
1004,241,0,1244.141,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.701,0.0,1246.08,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 15:07:11.141,0.25,90,-60,-90,60,1
1005,243,0,1255.475,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.826,1.0,1255.814,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 15:07:22.475,0.25,-90,-60,-90,-120,1
1006,244,0,1261.55,1,30,1,0.25,2,3,0.0,1.0,2,48.0,20.0,3,0.951,0.0,1262.078,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 15:07:28.550,0.25,90,120,90,60,1
1007,245,0,1263.583,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.888,1.0,1264.5410000000004,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 15:07:30.583,0.25,-90,-60,-90,-120,1
1008,246,0,1268.845,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.701,0.0,1269.061,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 15:07:35.845,0.25,90,-60,-90,60,1
1009,248,0,1275.481,1,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.951,1.0,1277.082,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 15:07:42.481,0.25,-90,-60,-90,-120,1
1010,249,0,1278.756,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.826,0.0,1280.588,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 15:07:45.756,0.25,90,-60,-90,60,1
1011,251,0,1286.996,1,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.763,1.0,1288.579,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 15:07:53.996,0.25,-90,-60,-90,-120,1
1012,252,0,1290.038,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.951,1.0,1291.399,0.15,1,2019-05-31 14:46:27.000,96,2019-05-31 15:07:57.038,0.25,-90,-60,-90,-120,1
1013,253,0,1294.458,0,30,1,0.25,2,9,0.0,1.0,8,48.0,20.0,9,0.763,0.0,1295.377,0.0,0,2019-05-31 14:46:27.000,96,2019-05-31 15:08:01.458,0.25,90,-60,-90,60,1
1177,205,0,1060.472,1,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.888,1.0,1060.68,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:36:46.472,0.25,-90,0,-90,-180,1
1178,206,0,1061.98,1,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.763,0.0,1064.163,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:36:47.980,0.25,90,-180,90,0,1
1179,207,0,1065.451,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.701,0.0,1067.189,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:36:51.451,0.25,90,-180,90,0,1
1180,208,0,1075.724,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.763,0.0,1076.513,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:37:01.724,0.25,90,-180,90,0,1
1181,209,0,1079.365,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.888,1.0,1079.657,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:37:05.365,0.25,-90,0,-90,-180,1
1182,210,0,1087.5,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.951,1.0,1088.256,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:37:13.500,0.25,-90,0,-90,-180,1
1183,211,0,1092.525,1,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.826,1.0,1092.758,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:37:18.525,0.25,-90,0,-90,-180,1
1184,212,0,1094.313,0,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.888,1.0,1095.657,0.0,0,2019-06-03 07:19:06.000,25,2019-06-03 07:37:20.313,0.25,-90,-180,90,-180,1
1185,214,0,1118.99,1,90,1,0.25,2,3,0.0,1.0,12,48.0,20.0,3,0.763,0.0,1119.864,0.15,1,2019-06-03 07:19:06.000,25,2019-06-03 07:37:44.990,0.25,90,-180,90,0,1
1186,215,0,1121.555,0,90,1,0.25,2,9,0.0,1.0,6,48.0,20.0,9,0.951,0.0,1122.694,0.0,0,2019-06-03 07:19:06.000,25,2019-06-03 07:37:47.555,0.25,90,0,-90,0,1
1313,158,0,1023.783,0,120,1,0.25,2,3,0.0,1.0,11,48.0,20.0,3,0.763,0.0,1023.974,0.15,1,2019-06-03 14:19:08.000,118,2019-06-03 14:36:11.783,0.25,90,-150,90,-30,1
1314,159,0,1034.045,0,120,1,0.25,2,9,0.0,1.0,5,48.0,20.0,9,0.951,1.0,1034.957,0.2,1,2019-06-03 14:19:08.000,118,2019-06-03 14:36:22.045,0.25,-90,30,-90,150,1
1315,160,0,1039.375,1,120,1,0.25,2,9,0.0,1.0,5,48.0,20.0,9,0.826,1.0,1039.652,0.2,1,2019-06-03 14:19:08.000,118,2019-06-03 14:36:27.375,0.25,-90,30,-90,150,1
1316,161,0,1041.141,0,120,1,0.25,2,3,0.0,1.0,11,48.0,20.0,3,0.888,1.0,1042.814,0.0,0,2019-06-03 14:19:08.000,118,2019-06-03 14:36:29.141,0.25,-90,-150,90,150,1
1317,163,0,1054.932,0,120,1,0.25,2,9,0.0,1.0,5,48.0,20.0,9,0.763,1.0,1055.663,0.2,1,2019-06-03 14:19:08.000,118,2019-06-03 14:36:42.932,0.25,-90,30,-90,150,1
1318,164,0,1059.275,1,120,1,0.25,2,9,0.0,1.0,5,48.0,20.0,9,0.888,1.0,1059.753,0.2,1,2019-06-03 14:19:08.000,118,2019-06-03 14:36:47.275,0.25,-90,30,-90,150,1
1319,165,0,1061.21,1,120,1,0.25,2,9,0.0,1.0,5,48.0,20.0,9,0.826,1.0,1062.683,0.2,1,2019-06-03 14:19:08.000,118,2019-06-03 14:36:49.210,0.25,-90,30,-90,150,1
