,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
180,1,0,51.172,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,52.733,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:05:43.172,0.25,-90,0,-180,90,1
181,2,0,74.766,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,1.0,76.365,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:06:06.766,0.25,-90,0,-180,90,1
182,3,0,88.01799999999999,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:06:20.018,0.25,90,-180,0,-90,1
183,4,0,95.789,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,1.0,97.685,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:06:27.789,0.25,-90,0,-180,90,1
184,5,0,105.464,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:06:37.464,0.25,90,-180,0,-90,1
185,6,0,113.455,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,115.412,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:06:45.455,0.25,-90,0,-180,90,1
186,7,0,124.041,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,1.0,125.594,0.0,0,2019-11-26 15:04:52.000,84,2019-11-26 15:06:56.041,0.25,-90,-180,0,90,1
187,9,0,140.88,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,1.0,142.799,0.0,0,2019-11-26 15:04:52.000,84,2019-11-26 15:07:12.880,0.25,-90,-180,0,90,1
188,11,0,163.417,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,165.658,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:07:35.417,0.25,-90,0,-180,90,1
189,12,0,173.92700000000005,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,1.0,175.532,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:07:45.927,0.25,-90,0,-180,90,1
300,1,0,21.78,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,0.0,0.0,0.0,0,2019-11-27 09:48:30.000,25,2019-11-27 09:48:51.780,0.25,90,0,0,90,1
301,3,0,52.38399999999999,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 09:49:22.384,0.25,90,-180,-180,90,1
302,4,0,60.04600000000001,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,0.0,0.0,0.0,0,2019-11-27 09:48:30.000,25,2019-11-27 09:49:30.046,0.25,90,0,0,90,1
303,6,0,73.268,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 09:49:43.268,0.25,90,-180,-180,90,1
304,7,0,80.15100000000002,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,0.0,0.0,0.0,0,2019-11-27 09:48:30.000,25,2019-11-27 09:49:50.151,0.25,90,0,0,90,1
305,13,0,163.001,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 09:51:13.001,0.25,90,-180,-180,90,1
306,14,0,170.368,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,0.0,0.0,0.0,0,2019-11-27 09:48:30.000,25,2019-11-27 09:51:20.368,0.25,90,0,0,90,1
307,17,0,208.747,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 09:51:58.747,0.25,90,-180,-180,90,1
308,18,0,217.472,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 09:52:07.472,0.25,90,-180,-180,90,1
309,19,0,224.177,1,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,0.0,0.0,0.0,0,2019-11-27 09:48:30.000,25,2019-11-27 09:52:14.177,0.25,90,0,0,90,1
375,1,0,120.363,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,1.0,122.148,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:28:14.363,0.25,-90,0,-60,-150,1
376,2,0,125.568,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,127.175,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:28:19.568,0.25,-90,0,-60,-150,1
377,3,0,152.286,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,154.261,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:28:46.286,0.25,-90,0,-60,-150,1
378,4,0,170.924,0,60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:29:04.924,0.25,90,-180,120,30,1
379,5,0,181.924,0,60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:29:15.924,0.25,90,-180,120,30,1
380,6,0,191.094,0,60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:29:25.094,0.25,90,-180,120,30,1
381,7,0,198.208,0,60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:29:32.208,0.25,90,-180,120,30,1
382,8,0,214.833,0,60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:29:48.833,0.25,90,-180,120,30,1
383,9,0,222.622,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,1.0,224.501,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:29:56.622,0.25,-90,0,-60,-150,1
384,10,0,235.887,0,60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:30:09.887,0.25,90,-180,120,30,1
435,1,0,29.338,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,0.0,0.0,0.0,0,2019-11-28 09:23:03.000,21,2019-11-28 09:23:32.338,0.25,90,0,0,90,1
436,5,0,96.908,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-11-28 09:23:03.000,21,2019-11-28 09:24:39.908,0.25,90,-180,-180,90,1
437,6,0,103.819,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,0.0,0.0,0.0,0,2019-11-28 09:23:03.000,21,2019-11-28 09:24:46.819,0.25,90,0,0,90,1
438,11,0,177.445,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,0.0,0.0,0.0,0,2019-11-28 09:23:03.000,21,2019-11-28 09:26:00.445,0.25,90,0,0,90,1
439,14,0,222.199,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-28 09:23:03.000,21,2019-11-28 09:26:45.199,0.25,90,-180,-180,90,1
440,15,0,229.336,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-28 09:23:03.000,21,2019-11-28 09:26:52.336,0.25,90,-180,-180,90,1
441,16,0,236.442,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,0.0,0.0,0.0,0,2019-11-28 09:23:03.000,21,2019-11-28 09:26:59.442,0.25,90,0,0,90,1
442,18,0,280.932,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,0.0,0.0,0.0,0,2019-11-28 09:23:03.000,21,2019-11-28 09:27:43.932,0.25,90,0,0,90,1
443,20,0,309.325,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-11-28 09:23:03.000,21,2019-11-28 09:28:12.325,0.25,90,-180,-180,90,1
444,21,0,315.684,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,317.4290000000001,0.15,1,2019-11-28 09:23:03.000,21,2019-11-28 09:28:18.684,0.25,-90,0,0,-90,1
620,1,0,62.72,0,-60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-29 14:54:08.000,53,2019-11-29 14:55:10.720,0.25,90,-180,-120,150,1
621,2,0,104.782,0,-60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-11-29 14:54:08.000,53,2019-11-29 14:55:52.782,0.25,90,-180,-120,150,1
622,3,0,114.359,0,-60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-11-29 14:54:08.000,53,2019-11-29 14:56:02.359,0.25,90,-180,-120,150,1
623,4,0,122.219,0,-60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-29 14:54:08.000,53,2019-11-29 14:56:10.219,0.25,90,-180,-120,150,1
624,5,0,130.47899999999998,0,-60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-11-29 14:54:08.000,53,2019-11-29 14:56:18.479,0.25,90,-180,-120,150,1
625,6,0,146.868,0,-60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,0.0,0.0,0.0,0,2019-11-29 14:54:08.000,53,2019-11-29 14:56:34.868,0.25,90,0,60,150,1
626,10,0,203.224,0,-60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-11-29 14:54:08.000,53,2019-11-29 14:57:31.224,0.25,90,-180,-120,150,1
627,11,0,213.82,1,-60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,0.0,0.0,0.0,0,2019-11-29 14:54:08.000,53,2019-11-29 14:57:41.820,0.25,90,0,60,150,1
628,13,0,261.42400000000004,0,-60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,1.0,263.825,0.15,1,2019-11-29 14:54:08.000,53,2019-11-29 14:58:29.424,0.25,-90,0,60,-30,1
629,14,0,273.47,0,-60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-29 14:54:08.000,53,2019-11-29 14:58:41.470,0.25,90,-180,-120,150,1
671,1,0,50.075,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,0.0,0.0,0.0,0,2019-12-09 09:14:39.000,39,2019-12-09 09:15:29.075,0.25,90,0,0,90,1
672,3,0,94.667,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-12-09 09:14:39.000,39,2019-12-09 09:16:13.667,0.25,90,-180,-180,90,1
673,4,0,103.92,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,1.0,106.27,0.15,1,2019-12-09 09:14:39.000,39,2019-12-09 09:16:22.920,0.25,-90,0,0,-90,1
674,5,0,113.317,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-12-09 09:14:39.000,39,2019-12-09 09:16:32.317,0.25,90,-180,-180,90,1
675,6,0,120.823,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-12-09 09:14:39.000,39,2019-12-09 09:16:39.823,0.25,90,-180,-180,90,1
676,7,0,126.81,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-12-09 09:14:39.000,39,2019-12-09 09:16:45.810,0.25,90,-180,-180,90,1
677,8,0,133.39,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-12-09 09:14:39.000,39,2019-12-09 09:16:52.390,0.25,90,-180,-180,90,1
678,9,0,143.793,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,1.0,146.029,0.0,0,2019-12-09 09:14:39.000,39,2019-12-09 09:17:02.793,0.25,-90,-180,-180,-90,1
679,11,0,172.72799999999995,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-12-09 09:14:39.000,39,2019-12-09 09:17:31.728,0.25,90,-180,-180,90,1
680,12,0,179.821,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,181.54,0.15,1,2019-12-09 09:14:39.000,39,2019-12-09 09:17:38.821,0.25,-90,0,0,-90,1
1134,1,0,30.612,0,-30,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-12-12 15:26:54.000,63,2019-12-12 15:27:24.612,0.25,90,-180,-150,120,1
1135,2,0,47.29600000000001,0,-30,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-12-12 15:26:54.000,63,2019-12-12 15:27:41.296,0.25,90,-180,-150,120,1
1136,3,0,60.087,0,-30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,0.0,0.0,0.0,0,2019-12-12 15:26:54.000,63,2019-12-12 15:27:54.087,0.25,90,0,30,120,1
1137,6,0,114.598,0,-30,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-12-12 15:26:54.000,63,2019-12-12 15:28:48.598,0.25,90,-180,-150,120,1
1138,7,0,122.418,0,-30,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-12-12 15:26:54.000,63,2019-12-12 15:28:56.418,0.25,90,-180,-150,120,1
1139,8,0,129.19299999999998,0,-30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,0.0,0.0,0.0,0,2019-12-12 15:26:54.000,63,2019-12-12 15:29:03.193,0.25,90,0,30,120,1
1140,10,0,152.488,0,-30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,155.591,0.15,1,2019-12-12 15:26:54.000,63,2019-12-12 15:29:26.488,0.25,-90,0,30,-60,1
1141,11,0,172.511,0,-30,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-12-12 15:26:54.000,63,2019-12-12 15:29:46.511,0.25,90,-180,-150,120,1
1142,12,0,180.181,0,-30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,0.0,0.0,0.0,0,2019-12-12 15:26:54.000,63,2019-12-12 15:29:54.181,0.25,90,0,30,120,1
1143,14,0,207.575,1,-30,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,1.0,215.68,0.0,0,2019-12-12 15:26:54.000,63,2019-12-12 15:30:21.575,0.25,-90,-180,-150,-60,1
1225,1,0,35.596,0,30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,1.0,38.159,0.15,1,2019-12-13 09:42:21.000,70,2019-12-13 09:42:56.596,0.25,-90,0,-30,-120,1
1226,2,0,58.12600000000001,0,30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,1.0,61.426,0.15,1,2019-12-13 09:42:21.000,70,2019-12-13 09:43:19.126,0.25,-90,0,-30,-120,1
1227,3,0,65.078,0,30,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.13,1,2019-12-13 09:42:21.000,70,2019-12-13 09:43:26.078,0.25,90,-180,150,60,1
1228,4,0,91.985,0,30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,0.0,0.0,0.0,0,2019-12-13 09:42:21.000,70,2019-12-13 09:43:52.985,0.25,90,0,-30,60,1
1229,6,0,117.108,1,30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,0.0,0.0,0.0,0,2019-12-13 09:42:21.000,70,2019-12-13 09:44:18.108,0.25,90,0,-30,60,1
1230,9,0,174.368,0,30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,1.0,176.735,0.15,1,2019-12-13 09:42:21.000,70,2019-12-13 09:45:15.368,0.25,-90,0,-30,-120,1
1231,10,0,187.52,0,30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,0.0,0.0,0.0,0,2019-12-13 09:42:21.000,70,2019-12-13 09:45:28.520,0.25,90,0,-30,60,1
1232,12,0,214.697,0,30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,0.0,0.0,0.0,0,2019-12-13 09:42:21.000,70,2019-12-13 09:45:55.697,0.25,90,0,-30,60,1
1233,14,0,238.102,0,30,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,240.874,0.15,1,2019-12-13 09:42:21.000,70,2019-12-13 09:46:19.102,0.25,-90,0,-30,-120,1
1234,15,0,262.10200000000003,0,30,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.1,1,2019-12-13 09:42:21.000,70,2019-12-13 09:46:43.102,0.25,90,-180,150,60,1
1274,1,0,32.285,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:43:33.285,0.25,90,-180,-180,90,1
1275,2,0,54.726000000000006,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,1.0,58.405,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:43:55.726,0.25,-90,0,0,-90,1
1276,3,0,85.75299999999999,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:44:26.753,0.25,90,-180,-180,90,1
1277,4,0,93.305,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:44:34.305,0.25,90,-180,-180,90,1
1278,5,0,100.983,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,0.0,0.0,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:44:41.983,0.25,90,-180,-180,90,1
1279,6,0,108.926,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,0.0,0.0,0.0,0,2019-12-13 14:43:01.000,74,2019-12-13 14:44:49.926,0.25,90,0,0,90,1
1280,8,0,139.588,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,141.256,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:45:20.588,0.25,-90,0,0,-90,1
1281,9,0,150.917,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:45:31.917,0.25,90,-180,-180,90,1
1282,10,0,160.72,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,1.0,162.8,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:45:41.720,0.25,-90,0,0,-90,1
1283,11,0,173.32299999999995,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-12-13 14:43:01.000,74,2019-12-13 14:45:54.323,0.25,90,-180,-180,90,1
1655,1,0,52.495,0,-150,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,1.0,56.785,0.15,1,2019-12-18 14:50:40.000,83,2019-12-18 14:51:32.495,0.25,-90,0,150,60,1
1656,2,0,66.737,1,-150,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-12-18 14:50:40.000,83,2019-12-18 14:51:46.737,0.25,90,-180,-30,-120,1
1657,3,0,83.052,0,-150,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,1.0,90.666,0.0,0,2019-12-18 14:50:40.000,83,2019-12-18 14:52:03.052,0.25,-90,-180,-30,60,1
1658,5,0,107.516,0,-150,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-12-18 14:50:40.000,83,2019-12-18 14:52:27.516,0.25,90,-180,-30,-120,1
1659,6,0,120.666,0,-150,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,1.0,126.891,0.15,1,2019-12-18 14:50:40.000,83,2019-12-18 14:52:40.666,0.25,-90,0,150,60,1
1660,7,0,137.558,0,-150,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-12-18 14:50:40.000,83,2019-12-18 14:52:57.558,0.25,90,-180,-30,-120,1
1661,8,0,145.355,0,-150,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,0.0,0.0,0.0,0,2019-12-18 14:50:40.000,83,2019-12-18 14:53:05.355,0.25,90,0,150,-120,1
1662,10,0,172.403,0,-150,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-12-18 14:50:40.000,83,2019-12-18 14:53:32.403,0.25,90,-180,-30,-120,1
1663,11,0,181.058,0,-150,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,183.612,0.15,1,2019-12-18 14:50:40.000,83,2019-12-18 14:53:41.058,0.25,-90,0,150,60,1
