,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
290,139,0,1448.651,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,0.0,0.0,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:29:00.651,0.25,90,-180,0,-90,1
291,140,0,1455.141,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,0.0,0.0,0.0,0,2019-11-26 15:04:52.000,84,2019-11-26 15:29:07.141,0.25,90,0,-180,-90,1
292,142,0,1480.348,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,1.0,1481.594,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:29:32.348,0.25,-90,0,-180,90,1
293,143,0,1487.204,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,1.0,1488.997,0.0,0,2019-11-26 15:04:52.000,84,2019-11-26 15:29:39.204,0.25,-90,-180,0,90,1
294,145,0,1527.024,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,1528.192,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:30:19.024,0.25,-90,0,-180,90,1
295,146,0,1534.41,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,1.0,1535.725,0.0,0,2019-11-26 15:04:52.000,84,2019-11-26 15:30:26.410,0.25,-90,-180,0,90,1
296,148,0,1556.899,0,180,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,1.0,1557.985,0.15,1,2019-11-26 15:04:52.000,84,2019-11-26 15:30:48.899,0.25,-90,0,-180,90,1
297,149,0,1563.892,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.6509999999999999,1.0,1565.4260000000004,0.0,0,2019-11-26 15:04:52.000,84,2019-11-26 15:30:55.892,0.25,-90,-180,0,90,1
298,151,0,1590.9,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,1.0,1592.864,0.0,0,2019-11-26 15:04:52.000,84,2019-11-26 15:31:22.900,0.25,-90,-180,0,90,1
299,153,0,1619.053,0,180,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,1.0,1620.61,0.0,0,2019-11-26 15:04:52.000,84,2019-11-26 15:31:51.053,0.25,-90,-180,0,90,1
365,92,0,1105.899,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,1.0,1107.453,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 10:06:55.899,0.25,-90,0,0,-90,1
366,93,0,1113.521,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,1115.443,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 10:07:03.521,0.25,-90,0,0,-90,1
367,94,0,1121.851,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,1123.483,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 10:07:11.851,0.25,-90,0,0,-90,1
368,95,0,1156.552,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 10:07:46.552,0.25,90,-180,-180,90,1
369,96,0,1164.548,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 10:07:54.548,0.25,90,-180,-180,90,1
370,97,0,1169.993,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.551,1.0,1171.687,0.0,0,2019-11-27 09:48:30.000,25,2019-11-27 10:07:59.993,0.25,-90,-180,-180,-90,1
371,99,0,1222.439,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,0.0,0.0,0.0,0,2019-11-27 09:48:30.000,25,2019-11-27 10:08:52.439,0.25,90,0,0,90,1
372,101,0,1246.7,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.601,0.0,0.0,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 10:09:16.700,0.25,90,-180,-180,90,1
373,102,0,1252.539,0,0,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,1.0,1254.27,0.15,1,2019-11-27 09:48:30.000,25,2019-11-27 10:09:22.539,0.25,-90,0,0,-90,1
374,103,0,1259.106,0,0,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,1.0,1261.066,0.0,0,2019-11-27 09:48:30.000,25,2019-11-27 10:09:29.106,0.25,-90,-180,-180,-90,1
425,62,0,1108.723,0,60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.701,0.0,0.0,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:44:42.723,0.25,90,-180,120,30,1
426,63,0,1116.849,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,1.0,1118.865,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:44:50.849,0.25,-90,0,-60,-150,1
427,64,0,1124.799,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.501,1.0,1127.249,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:44:58.799,0.25,-90,0,-60,-150,1
428,65,0,1140.202,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,1.0,1142.104,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:45:14.202,0.25,-90,0,-60,-150,1
429,66,0,1147.72,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.601,1.0,1149.977,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:45:21.720,0.25,-90,0,-60,-150,1
430,67,0,1159.559,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.551,0.0,0.0,0.0,0,2019-11-27 15:26:14.000,13,2019-11-27 15:45:33.559,0.25,90,0,-60,30,1
431,69,0,1183.999,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.701,0.0,0.0,0.0,0,2019-11-27 15:26:14.000,13,2019-11-27 15:45:57.999,0.25,90,0,-60,30,1
432,72,0,1394.341,0,60,1,0.25,2,9,0.0,1.0,6,45.0,20.0,9,0.6509999999999999,0.0,0.0,0.0,0,2019-11-27 15:26:14.000,13,2019-11-27 15:49:28.341,0.25,90,0,-60,30,1
433,74,0,1482.193,0,60,1,0.25,2,3,0.0,1.0,12,45.0,20.0,3,0.501,0.0,0.0,0.15,1,2019-11-27 15:26:14.000,13,2019-11-27 15:50:56.193,0.25,90,-180,120,30,1
