,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
195,1,0,27.657,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.8009999999999999,0.0,28.426,0.0,0,2019-09-20 08:39:49.000,59,2019-09-20 08:40:16.657,0.25,90,-30,0,120,1
196,3,0,37.145,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.701,1.0,37.487,0.15,1,2019-09-20 08:39:49.000,59,2019-09-20 08:40:26.145,0.25,-90,-30,0,-60,1
197,4,0,40.97,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.7509999999999999,0.0,41.26300000000001,0.15,1,2019-09-20 08:39:49.000,59,2019-09-20 08:40:29.970,0.25,90,150,-180,120,1
198,5,0,44.402,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.851,1.0,44.528,0.0,0,2019-09-20 08:39:49.000,59,2019-09-20 08:40:33.402,0.25,-90,150,-180,-60,1
199,9,0,88.86399999999998,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.701,0.0,89.45299999999997,0.0,0,2019-09-20 08:39:49.000,59,2019-09-20 08:41:17.864,0.25,90,-30,0,120,1
200,12,0,98.069,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.851,1.0,98.561,0.15,1,2019-09-20 08:39:49.000,59,2019-09-20 08:41:27.069,0.25,-90,-30,0,-60,1
201,13,0,102.181,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.701,1.0,103.18,0.0,0,2019-09-20 08:39:49.000,59,2019-09-20 08:41:31.181,0.25,-90,150,-180,-60,1
202,16,0,114.916,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.8009999999999999,0.0,115.426,0.15,1,2019-09-20 08:39:49.000,59,2019-09-20 08:41:43.916,0.25,90,150,-180,120,1
203,17,0,118.132,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.851,0.0,118.999,0.0,0,2019-09-20 08:39:49.000,59,2019-09-20 08:41:47.132,0.25,90,-30,0,120,1
204,19,0,129.68,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.7509999999999999,0.0,130.35399999999998,0.15,1,2019-09-20 08:39:49.000,59,2019-09-20 08:41:58.680,0.25,90,150,-180,120,1
356,1,0,18.815,0,30,1,0.25,2,9,0.0,0.0,5,45.0,30.0,9,0.701,1.0,19.26,0.15,1,2019-09-20 13:59:57.000,114,2019-09-20 14:00:15.815,0.25,-90,30,0,-120,1
357,2,0,23.797,0,30,1,0.25,2,3,0.0,0.0,11,45.0,30.0,3,0.851,0.0,35.876,0.15,1,2019-09-20 13:59:57.000,114,2019-09-20 14:00:20.797,0.25,90,-150,-180,60,1
358,3,0,39.677,0,30,1,0.25,2,9,0.0,0.0,5,45.0,30.0,9,0.7509999999999999,1.0,40.217,0.15,1,2019-09-20 13:59:57.000,114,2019-09-20 14:00:36.677,0.25,-90,30,0,-120,1
359,4,0,45.71,0,30,1,0.25,2,3,0.0,0.0,11,45.0,30.0,3,0.8009999999999999,1.0,46.4,0.0,0,2019-09-20 13:59:57.000,114,2019-09-20 14:00:42.710,0.25,-90,-150,-180,-120,1
360,6,0,52.65600000000001,0,30,1,0.25,2,9,0.0,0.0,5,45.0,30.0,9,0.7509999999999999,1.0,53.032,0.15,1,2019-09-20 13:59:57.000,114,2019-09-20 14:00:49.656,0.25,-90,30,0,-120,1
361,7,0,57.502,0,30,1,0.25,2,9,0.0,0.0,5,45.0,30.0,9,0.701,1.0,57.9,0.15,1,2019-09-20 13:59:57.000,114,2019-09-20 14:00:54.502,0.25,-90,30,0,-120,1
362,8,0,61.102,0,30,1,0.25,2,3,0.0,0.0,11,45.0,30.0,3,0.851,0.0,61.701,0.15,1,2019-09-20 13:59:57.000,114,2019-09-20 14:00:58.102,0.25,90,-150,-180,60,1
363,9,0,67.958,0,30,1,0.25,2,9,0.0,0.0,5,45.0,30.0,9,0.901,1.0,68.22800000000001,0.15,1,2019-09-20 13:59:57.000,114,2019-09-20 14:01:04.958,0.25,-90,30,0,-120,1
364,10,0,73.15,1,30,1,0.25,2,9,0.0,0.0,5,45.0,30.0,9,0.8009999999999999,1.0,73.807,0.15,1,2019-09-20 13:59:57.000,114,2019-09-20 14:01:10.150,0.25,-90,30,0,-120,1
365,11,0,76.52,0,30,1,0.25,2,9,0.0,0.0,5,45.0,30.0,9,0.7509999999999999,0.0,77.92399999999998,0.0,0,2019-09-20 13:59:57.000,114,2019-09-20 14:01:13.520,0.25,90,30,0,60,1
578,1,0,70.895,0,0,1,0.25,2,3,0.0,0.0,12,45.0,30.0,3,0.851,0.0,71.497,0.15,1,2019-09-23 16:12:24.000,1,2019-09-23 16:13:34.895,0.25,90,-180,-180,90,1
579,2,0,75.631,0,0,1,0.25,2,9,0.0,0.0,6,45.0,30.0,9,0.8009999999999999,0.0,76.179,0.0,0,2019-09-23 16:12:24.000,1,2019-09-23 16:13:39.631,0.25,90,0,0,90,1
580,6,0,99.825,0,0,1,0.25,2,9,0.0,0.0,6,45.0,30.0,9,0.7509999999999999,0.0,100.721,0.0,0,2019-09-23 16:12:24.000,1,2019-09-23 16:14:03.825,0.25,90,0,0,90,1
581,9,0,109.896,0,0,1,0.25,2,9,0.0,0.0,6,45.0,30.0,9,0.901,0.0,110.565,0.0,0,2019-09-23 16:12:24.000,1,2019-09-23 16:14:13.896,0.25,90,0,0,90,1
582,11,0,119.579,0,0,1,0.25,2,9,0.0,0.0,6,45.0,30.0,9,0.701,1.0,120.629,0.15,1,2019-09-23 16:12:24.000,1,2019-09-23 16:14:23.579,0.25,-90,0,0,-90,1
583,12,0,128.804,0,0,1,0.25,2,3,0.0,0.0,12,45.0,30.0,3,0.8009999999999999,1.0,129.02200000000002,0.0,0,2019-09-23 16:12:24.000,1,2019-09-23 16:14:32.804,0.25,-90,-180,-180,-90,1
584,14,0,134.47799999999998,0,0,1,0.25,2,9,0.0,0.0,6,45.0,30.0,9,0.901,0.0,135.159,0.0,0,2019-09-23 16:12:24.000,1,2019-09-23 16:14:38.478,0.25,90,0,0,90,1
585,18,0,148.344,0,0,1,0.25,2,3,0.0,0.0,12,45.0,30.0,3,0.701,0.0,149.238,0.15,1,2019-09-23 16:12:24.000,1,2019-09-23 16:14:52.344,0.25,90,-180,-180,90,1
586,19,0,152.095,0,0,1,0.25,2,3,0.0,0.0,12,45.0,30.0,3,0.7509999999999999,1.0,152.715,0.0,0,2019-09-23 16:12:24.000,1,2019-09-23 16:14:56.095,0.25,-90,-180,-180,-90,1
587,22,0,160.83,0,0,1,0.25,2,9,0.0,0.0,6,45.0,30.0,9,0.7509999999999999,0.0,163.99400000000003,0.0,0,2019-09-23 16:12:24.000,1,2019-09-23 16:15:04.830,0.25,90,0,0,90,1
841,1,0,31.141,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.8009999999999999,1.0,31.221,0.15,1,2019-09-24 13:59:43.000,242,2019-09-24 14:00:14.141,0.25,-90,-30,0,-60,1
842,2,0,45.375,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.901,0.0,45.679,0.15,1,2019-09-24 13:59:43.000,242,2019-09-24 14:00:28.375,0.25,90,150,-180,120,1
843,3,0,47.357,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.701,1.0,47.892,0.0,0,2019-09-24 13:59:43.000,242,2019-09-24 14:00:30.357,0.25,-90,150,-180,-60,1
844,5,0,53.433,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.851,0.0,54.145,0.0,0,2019-09-24 13:59:43.000,242,2019-09-24 14:00:36.433,0.25,90,-30,0,120,1
845,7,0,59.06399999999999,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.851,0.0,59.76300000000001,0.15,1,2019-09-24 13:59:43.000,242,2019-09-24 14:00:42.064,0.25,90,150,-180,120,1
846,8,0,62.673,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.7509999999999999,0.0,63.437,0.15,1,2019-09-24 13:59:43.000,242,2019-09-24 14:00:45.673,0.25,90,150,-180,120,1
847,9,0,66.306,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.901,0.0,66.777,0.15,1,2019-09-24 13:59:43.000,242,2019-09-24 14:00:49.306,0.25,90,150,-180,120,1
848,10,0,69.811,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.701,1.0,70.33800000000001,0.15,1,2019-09-24 13:59:43.000,242,2019-09-24 14:00:52.811,0.25,-90,-30,0,-60,1
849,11,0,72.71,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.8009999999999999,0.0,73.289,0.0,0,2019-09-24 13:59:43.000,242,2019-09-24 14:00:55.710,0.25,90,-30,0,120,1
850,14,0,81.818,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.851,1.0,82.01,0.15,1,2019-09-24 13:59:43.000,242,2019-09-24 14:01:04.818,0.25,-90,-30,0,-60,1
961,1,0,14.315,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.8009999999999999,0.0,14.890999999999998,0.15,1,2019-09-25 08:40:03.000,116,2019-09-25 08:40:17.315,0.25,90,120,-180,150,1
962,2,0,18.345,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.901,1.0,19.207,0.0,0,2019-09-25 08:40:03.000,116,2019-09-25 08:40:21.345,0.25,-90,120,-180,-30,1
963,4,0,26.703000000000007,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.701,0.0,28.229,0.15,1,2019-09-25 08:40:03.000,116,2019-09-25 08:40:29.703,0.25,90,120,-180,150,1
964,5,0,31.205,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.7509999999999999,0.0,32.06,0.15,1,2019-09-25 08:40:03.000,116,2019-09-25 08:40:34.205,0.25,90,120,-180,150,1
965,6,0,34.646,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.701,1.0,35.16,0.0,0,2019-09-25 08:40:03.000,116,2019-09-25 08:40:37.646,0.25,-90,120,-180,-30,1
966,8,0,42.933,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.901,0.0,43.303,0.15,1,2019-09-25 08:40:03.000,116,2019-09-25 08:40:45.933,0.25,90,120,-180,150,1
967,9,0,46.428,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.7509999999999999,0.0,47.014,0.15,1,2019-09-25 08:40:03.000,116,2019-09-25 08:40:49.428,0.25,90,120,-180,150,1
968,10,0,66.015,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.851,0.0,66.465,0.15,1,2019-09-25 08:40:03.000,116,2019-09-25 08:41:09.015,0.25,90,120,-180,150,1
969,11,0,70.305,0,-60,1,0.25,2,3,0.0,0.0,2,45.0,30.0,3,0.901,0.0,70.785,0.15,1,2019-09-25 08:40:03.000,116,2019-09-25 08:41:13.305,0.25,90,120,-180,150,1
970,12,0,78.44800000000002,1,-60,1,0.25,2,9,0.0,0.0,8,45.0,30.0,9,0.8009999999999999,1.0,78.85,0.15,1,2019-09-25 08:40:03.000,116,2019-09-25 08:41:21.448,0.25,-90,-60,0,-30,1
1109,1,0,21.286,0,-90,1,0.25,2,3,0.0,0.0,3,45.0,30.0,3,0.7509999999999999,0.0,21.746,0.15,1,2019-09-25 14:06:47.000,58,2019-09-25 14:07:08.286,0.25,90,90,-180,-180,1
1110,2,0,23.81,0,-90,1,0.25,2,3,0.0,0.0,3,45.0,30.0,3,0.8009999999999999,0.0,24.252,0.15,1,2019-09-25 14:06:47.000,58,2019-09-25 14:07:10.810,0.25,90,90,-180,-180,1
1111,3,0,32.628,0,-90,1,0.25,2,9,0.0,0.0,9,45.0,30.0,9,0.901,0.0,33.186,0.0,0,2019-09-25 14:06:47.000,58,2019-09-25 14:07:19.628,0.25,90,-90,0,-180,1
1112,5,0,36.785,0,-90,1,0.25,2,3,0.0,0.0,3,45.0,30.0,3,0.851,0.0,37.233,0.15,1,2019-09-25 14:06:47.000,58,2019-09-25 14:07:23.785,0.25,90,90,-180,-180,1
1113,6,0,40.211,0,-90,1,0.25,2,3,0.0,0.0,3,45.0,30.0,3,0.901,0.0,40.809,0.15,1,2019-09-25 14:06:47.000,58,2019-09-25 14:07:27.211,0.25,90,90,-180,-180,1
1114,7,0,44.065,1,-90,1,0.25,2,9,0.0,0.0,9,45.0,30.0,9,0.8009999999999999,0.0,44.587,0.0,0,2019-09-25 14:06:47.000,58,2019-09-25 14:07:31.065,0.25,90,-90,0,-180,1
1115,9,0,49.791,0,-90,1,0.25,2,9,0.0,0.0,9,45.0,30.0,9,0.851,0.0,50.255,0.0,0,2019-09-25 14:06:47.000,58,2019-09-25 14:07:36.791,0.25,90,-90,0,-180,1
1116,12,0,66.26,0,-90,1,0.25,2,3,0.0,0.0,3,45.0,30.0,3,0.8009999999999999,0.0,66.615,0.15,1,2019-09-25 14:06:47.000,58,2019-09-25 14:07:53.260,0.25,90,90,-180,-180,1
