,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
248,1,0,50.662,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 10:30:51.662,0.25,90,30,-150,-90,1
249,2,0,64.824,1,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,74.52600000000002,0.19,1,2020-03-20 10:30:01.000,44,2020-03-20 10:31:05.824,0.25,-90,-150,30,90,1
250,3,0,95.674,1,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 10:31:36.674,0.25,90,30,-150,-90,1
251,4,0,119.332,0,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.451,0.0,0.0,0.0,0,2020-03-20 10:30:01.000,44,2020-03-20 10:32:00.332,0.25,90,-150,30,-90,1
252,7,0,166.071,0,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.476,1.0,167.72099999999998,0.19,1,2020-03-20 10:30:01.000,44,2020-03-20 10:32:47.071,0.25,-90,-150,30,90,1
253,8,0,189.212,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.551,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 10:33:10.212,0.25,90,30,-150,-90,1
254,9,0,196.791,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 10:33:17.791,0.25,90,30,-150,-90,1
255,10,0,204.944,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.476,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 10:33:25.944,0.25,90,30,-150,-90,1
256,11,0,226.521,0,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.526,1.0,228.248,0.19,1,2020-03-20 10:30:01.000,44,2020-03-20 10:33:47.521,0.25,-90,-150,30,90,1
257,12,0,248.859,0,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.451,1.0,250.181,0.19,1,2020-03-20 10:30:01.000,44,2020-03-20 10:34:09.859,0.25,-90,-150,30,90,1
377,1,0,20.424,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,1.0,28.576,0.0,0,2020-03-20 15:30:39.000,94,2020-03-20 15:30:59.424,0.25,-90,30,30,-90,1
378,4,0,64.35600000000001,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,0.0,0.0,0.12,1,2020-03-20 15:30:39.000,94,2020-03-20 15:31:43.356,0.25,90,30,30,90,1
379,5,0,75.08,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.526,1.0,77.399,0.19,1,2020-03-20 15:30:39.000,94,2020-03-20 15:31:54.080,0.25,-90,-150,-150,-90,1
380,6,0,93.079,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.476,0.0,0.0,0.12,1,2020-03-20 15:30:39.000,94,2020-03-20 15:32:12.079,0.25,90,30,30,90,1
381,7,0,104.482,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,0.0,0.0,0.0,0,2020-03-20 15:30:39.000,94,2020-03-20 15:32:23.482,0.25,90,-150,-150,90,1
382,9,0,151.278,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,0.0,0.0,0.12,1,2020-03-20 15:30:39.000,94,2020-03-20 15:33:10.278,0.25,90,30,30,90,1
