,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
367,143,0,2389.51,0,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.476,1.0,2391.966,0.19,1,2020-03-20 10:30:01.000,44,2020-03-20 11:09:50.510,0.25,-90,-150,30,90,1
368,144,0,2410.407,0,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.476,1.0,2412.7670000000007,0.19,1,2020-03-20 10:30:01.000,44,2020-03-20 11:10:11.407,0.25,-90,-150,30,90,1
369,145,0,2429.071,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 11:10:30.071,0.25,90,30,-150,-90,1
370,146,0,2438.828,0,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,2440.98,0.19,1,2020-03-20 10:30:01.000,44,2020-03-20 11:10:39.828,0.25,-90,-150,30,90,1
371,147,0,2468.827,0,180,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.526,1.0,2470.724,0.19,1,2020-03-20 10:30:01.000,44,2020-03-20 11:11:09.827,0.25,-90,-150,30,90,1
372,148,0,2485.565,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 11:11:26.565,0.25,90,30,-150,-90,1
373,149,0,2513.552,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,1.0,2516.916,0.0,0,2020-03-20 10:30:01.000,44,2020-03-20 11:11:54.552,0.25,-90,30,-150,90,1
374,151,0,2534.62,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 11:12:15.620,0.25,90,30,-150,-90,1
375,152,0,2544.113,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.476,0.0,0.0,0.12,1,2020-03-20 10:30:01.000,44,2020-03-20 11:12:25.113,0.25,90,30,-150,-90,1
376,153,0,2558.427,0,180,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.551,1.0,2570.197,0.0,0,2020-03-20 10:30:01.000,44,2020-03-20 11:12:39.427,0.25,-90,30,-150,90,1
453,102,0,1753.848,1,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.551,0.0,0.0,0.12,1,2020-03-20 15:30:39.000,94,2020-03-20 15:59:52.848,0.25,90,30,30,90,1
454,103,0,1769.124,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,1.0,1774.344,0.0,0,2020-03-20 15:30:39.000,94,2020-03-20 16:00:08.124,0.25,-90,30,30,-90,1
455,105,0,1808.533,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.476,1.0,1812.285,0.0,0,2020-03-20 15:30:39.000,94,2020-03-20 16:00:47.533,0.25,-90,30,30,-90,1
456,107,0,1859.63,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,0.0,0.0,0.0,0,2020-03-20 15:30:39.000,94,2020-03-20 16:01:38.630,0.25,90,-150,-150,90,1
457,109,0,1925.196,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,1928.84,0.19,1,2020-03-20 15:30:39.000,94,2020-03-20 16:02:44.196,0.25,-90,-150,-150,-90,1
458,110,0,1944.434,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.12,1,2020-03-20 15:30:39.000,94,2020-03-20 16:03:03.434,0.25,90,30,30,90,1
459,111,0,1953.957,1,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.451,0.0,0.0,0.0,0,2020-03-20 15:30:39.000,94,2020-03-20 16:03:12.957,0.25,90,-150,-150,90,1
460,114,0,2001.408,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,2004.147,0.19,1,2020-03-20 15:30:39.000,94,2020-03-20 16:04:00.408,0.25,-90,-150,-150,-90,1
461,115,0,2027.124,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.476,0.0,0.0,0.12,1,2020-03-20 15:30:39.000,94,2020-03-20 16:04:26.124,0.25,90,30,30,90,1
462,116,0,2047.837,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,1.0,2054.008,0.0,0,2020-03-20 15:30:39.000,94,2020-03-20 16:04:46.837,0.25,-90,30,30,-90,1
1137,40,0,694.4689999999998,0,-60,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,697.674,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:41:14.469,0.25,-90,-150,-90,-30,1
1138,41,0,711.324,0,-60,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,0.0,0.0,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:41:31.324,0.25,90,30,90,150,1
1139,42,0,730.1569999999998,0,-60,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,732.427,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:41:50.157,0.25,-90,-150,-90,-30,1
1140,43,0,749.773,0,-60,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:42:09.773,0.25,90,30,90,150,1
1141,44,0,782.262,0,-60,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,785.4110000000002,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:42:42.262,0.25,-90,-150,-90,-30,1
1142,45,0,800.75,0,-60,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.451,0.0,0.0,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:43:00.750,0.25,90,30,90,150,1
1143,46,0,819.677,0,-60,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:43:19.677,0.25,90,30,90,150,1
1144,47,0,843.888,0,-60,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,0.0,0.0,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:43:43.888,0.25,90,30,90,150,1
1145,48,0,852.068,0,-60,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.476,0.0,0.0,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:43:52.068,0.25,90,30,90,150,1
1146,49,0,904.095,0,-60,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.526,0.0,0.0,0.15,1,2020-06-02 17:29:40.000,67,2020-06-02 17:44:44.095,0.25,90,30,90,150,1
1214,80,0,1352.9879999999996,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.551,1.0,1355.564,0.19,1,2020-06-03 12:14:52.000,65,2020-06-03 12:37:24.988,0.25,-90,-150,-150,-90,1
1215,81,0,1372.312,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.501,1.0,1374.303,0.19,1,2020-06-03 12:14:52.000,65,2020-06-03 12:37:44.312,0.25,-90,-150,-150,-90,1
1216,82,0,1393.5970000000002,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.526,0.0,0.0,0.0,0,2020-06-03 12:14:52.000,65,2020-06-03 12:38:05.597,0.25,90,-150,-150,90,1
1217,84,0,1437.094,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.501,0.0,0.0,0.12,1,2020-06-03 12:14:52.000,65,2020-06-03 12:38:49.094,0.25,90,30,30,90,1
1218,85,0,1444.014,0,0,1,0.25,2,9,0.0,0.0,11,48.0,30.0,9,0.451,0.0,0.0,0.0,0,2020-06-03 12:14:52.000,65,2020-06-03 12:38:56.014,0.25,90,-150,-150,90,1
1219,87,0,1471.921,0,0,1,0.25,2,3,0.0,0.0,5,48.0,30.0,3,0.476,0.0,0.0,0.12,1,2020-06-03 12:14:52.000,65,2020-06-03 12:39:23.921,0.25,90,30,30,90,1
