,Trial,CorrectionTrial,StartTime,CenterReward,CenterSpoutRotation,nStimReps,Duration,Modality,LED Location,LED_trial_V,LED_bgnd_V,Speaker Location,Speaker_trial_V,Speaker_bgnd_V,TargetSpout,HoldTime,Response,RespTime,ValveTime,Correct,SessionDate,SessionID,StartDateTime,StimulusTotalDuration,response_angle_world,speaker_angle_world,speaker_angle_platform,response_angle_platform,not_probe
205,1,0,27.685,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.701,1.0,28.95,0.0,0,2019-10-01 09:08:42.000,207,2019-10-01 09:09:09.685,0.25,-90,150,-180,-60,1
206,3,0,36.862,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.851,0.0,37.314,0.0,0,2019-10-01 09:08:42.000,207,2019-10-01 09:09:18.862,0.25,90,-30,0,120,1
207,5,0,47.03100000000001,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.7509999999999999,0.0,47.532,0.0,0,2019-10-01 09:08:42.000,207,2019-10-01 09:09:29.031,0.25,90,-30,0,120,1
208,9,0,63.129,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.7509999999999999,1.0,63.636,0.14,1,2019-10-01 09:08:42.000,207,2019-10-01 09:09:45.129,0.25,-90,-30,0,-60,1
209,10,0,67.643,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.701,0.0,68.11399999999999,0.16,1,2019-10-01 09:08:42.000,207,2019-10-01 09:09:49.643,0.25,90,150,-180,120,1
210,11,0,72.418,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.701,1.0,72.898,0.14,1,2019-10-01 09:08:42.000,207,2019-10-01 09:09:54.418,0.25,-90,-30,0,-60,1
211,12,0,77.137,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.7509999999999999,1.0,77.734,0.14,1,2019-10-01 09:08:42.000,207,2019-10-01 09:09:59.137,0.25,-90,-30,0,-60,1
212,13,0,81.289,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.851,1.0,81.741,0.14,1,2019-10-01 09:08:42.000,207,2019-10-01 09:10:03.289,0.25,-90,-30,0,-60,1
213,14,0,85.31700000000002,0,-30,1,0.25,2,9,0.0,0.0,7,45.0,30.0,9,0.8009999999999999,1.0,85.47200000000002,0.14,1,2019-10-01 09:08:42.000,207,2019-10-01 09:10:07.317,0.25,-90,-30,0,-60,1
214,15,0,90.291,0,-30,1,0.25,2,3,0.0,0.0,1,45.0,30.0,3,0.6509999999999999,1.0,90.557,0.0,0,2019-10-01 09:08:42.000,207,2019-10-01 09:10:12.291,0.25,-90,150,-180,-60,1
761,1,0,77.973,0,0,1,0.25,2,3,0.0,0.0,12,45.0,30.0,3,0.701,0.0,78.479,0.1,1,2019-10-03 08:53:10.000,238,2019-10-03 08:54:27.973,0.25,90,-180,-180,90,1
762,2,0,82.416,0,0,1,0.25,2,9,0.0,0.0,6,45.0,30.0,9,0.6509999999999999,1.0,83.194,0.14,1,2019-10-03 08:53:10.000,238,2019-10-03 08:54:32.416,0.25,-90,0,0,-90,1
763,3,0,94.247,0,0,1,0.25,2,3,0.0,0.0,12,45.0,30.0,3,0.851,1.0,94.853,0.0,0,2019-10-03 08:53:10.000,238,2019-10-03 08:54:44.247,0.25,-90,-180,-180,-90,1
