nCorrect,nTrials,pCorrect,Fold
405,837,48.3870967741936,1
428,836,51.1961722488038,2
441,836,52.7511961722488,3
413,837,49.3428912783751,4
424,837,50.6571087216249,5
422,837,50.4181600955794,6
426,837,50.8960573476703,7
404,836,48.3253588516746,8
413,836,49.4019138755981,9
399,837,47.6702508960573,10
412,837,49.2234169653524,11
433,837,51.7323775388292,12
408,837,48.7455197132617,13
415,836,49.6411483253589,14
432,837,51.6129032258064,15
412,837,49.2234169653524,16
404,837,48.2676224611709,17
420,837,50.179211469534,18
444,837,53.0465949820789,19
420,837,50.179211469534,20
