nCorrect,nTrials,pCorrect,Fold
464,678,68.4365781710914,1
449,677,66.3220088626292,2
445,678,65.6342182890855,3
462,678,68.141592920354,4
465,678,68.5840707964602,5
474,677,70.0147710487445,6
446,677,65.8788774002954,7
450,678,66.3716814159292,8
443,678,65.3392330383481,9
432,678,63.716814159292,10
465,677,68.685376661743,11
447,678,65.929203539823,12
442,677,65.288035450517,13
439,677,64.8449039881832,14
470,677,69.423929098966,15
435,678,64.1592920353982,16
450,677,66.4697193500739,17
451,677,66.6174298375185,18
447,678,65.929203539823,19
467,678,68.8790560471976,20
