nCorrect,nTrials,pCorrect,Fold
460,678,67.8466076696165,1
445,677,65.7311669128508,2
443,678,65.3392330383481,3
461,678,67.9941002949852,4
461,678,67.9941002949852,5
480,677,70.9010339734121,6
457,677,67.5036927621861,7
451,678,66.5191740412979,8
436,678,64.306784660767,9
422,678,62.2418879056047,10
462,677,68.2422451994092,11
448,678,66.0766961651917,12
445,677,65.7311669128508,13
442,677,65.288035450517,14
474,677,70.0147710487445,15
439,678,64.7492625368731,16
448,677,66.1742983751846,17
444,677,65.5834564254062,18
453,678,66.8141592920354,19
479,678,70.6489675516224,20
