nCorrect,nTrials,pCorrect,Fold
541,838,64.5584725536993,1
514,838,61.3365155131265,2
530,838,63.2458233890215,3
542,838,64.6778042959427,4
511,838,60.9785202863962,5
557,838,66.4677804295943,6
541,838,64.5584725536993,7
549,838,65.5131264916468,8
557,838,66.4677804295943,9
562,838,67.0644391408115,10
540,839,64.3623361144219,11
540,838,64.4391408114558,12
580,839,69.1299165673421,13
498,838,59.4272076372315,14
548,839,65.315852205006,15
540,839,64.3623361144219,16
551,838,65.7517899761337,17
564,838,67.3031026252983,18
527,839,62.8128724672229,19
519,838,61.9331742243437,20
