nCorrect,nTrials,pCorrect,Fold
450,678,66.3716814159292,1
458,677,67.6514032496307,2
455,678,67.1091445427729,3
448,678,66.0766961651917,4
430,678,63.4218289085546,5
455,677,67.2082717872969,6
468,677,69.1285081240768,7
421,677,62.1861152141802,8
428,678,63.1268436578171,9
431,678,63.5693215339233,10
448,677,66.1742983751846,11
430,678,63.4218289085546,12
453,678,66.8141592920354,13
450,677,66.4697193500739,14
433,677,63.9586410635155,15
429,678,63.2743362831858,16
446,678,65.7817109144543,17
448,678,66.0766961651917,18
450,677,66.4697193500739,19
430,677,63.5155096011817,20
