nCorrect,nTrials,pCorrect,Fold
1445,2825,51.1504424778761,1
1412,2826,49.9646142958245,2
1468,2825,51.9646017699115,3
1434,2825,50.7610619469027,4
1442,2825,51.0442477876106,5
1449,2825,51.2920353982301,6
1428,2826,50.5307855626327,7
1431,2826,50.6369426751592,8
1425,2825,50.4424778761062,9
1394,2825,49.3451327433628,10
1408,2825,49.8407079646018,11
1428,2825,50.5486725663717,12
1497,2826,52.9723991507431,13
1458,2825,51.6106194690266,14
1426,2825,50.4778761061947,15
1411,2826,49.929228591649,16
1423,2826,50.3538570417551,17
1398,2825,49.4867256637168,18
1445,2826,51.1323425336164,19
1500,2825,53.0973451327434,20
