nCorrect,nTrials,pCorrect,Fold
439,836,52.511961722488,1
401,837,47.9091995221027,2
421,837,50.2986857825568,3
428,836,51.1961722488038,4
444,837,53.0465949820789,5
416,837,49.7013142174432,6
430,836,51.4354066985646,7
457,837,54.599761051374,8
425,837,50.7765830346476,9
412,837,49.2234169653524,10
394,837,47.0728793309438,11
416,837,49.7013142174432,12
404,837,48.2676224611709,13
440,837,52.5686977299881,14
423,836,50.5980861244019,15
408,837,48.7455197132617,16
428,837,51.1350059737156,17
436,836,52.1531100478469,18
407,837,48.626045400239,19
417,837,49.8207885304659,20
