nCorrect,nTrials,pCorrect,Fold
443,837,52.9271206690562,1
413,836,49.4019138755981,2
436,836,52.1531100478469,3
430,837,51.373954599761,4
421,837,50.2986857825568,5
428,836,51.1961722488038,6
424,837,50.6571087216249,7
448,837,53.5244922341696,8
440,837,52.5686977299881,9
411,836,49.1626794258373,10
415,836,49.6411483253589,11
428,837,51.1350059737156,12
409,837,48.8649940262844,13
392,837,46.8339307048984,14
440,837,52.5686977299881,15
429,837,51.2544802867383,16
444,837,53.0465949820789,17
425,837,50.7765830346476,18
429,837,51.2544802867383,19
404,837,48.2676224611709,20
