nCorrect,nTrials,pCorrect,Fold
1172,2353,49.8087547811305,1
1189,2353,50.531236719082,2
1211,2353,51.4662133446664,3
1223,2353,51.9762005949851,4
1165,2352,49.5323129251701,5
1195,2353,50.7862303442414,6
1145,2353,48.6612834679133,7
1166,2352,49.5748299319728,8
1185,2353,50.3612409689758,9
1181,2353,50.1912452188695,10
1137,2353,48.3212919677008,11
1167,2352,49.6173469387755,12
1233,2352,52.4234693877551,13
1141,2353,48.4912877178071,14
1208,2352,51.3605442176871,15
1162,2352,49.4047619047619,16
1174,2352,49.9149659863946,17
1184,2353,50.3187420314492,18
1211,2352,51.4880952380952,19
1137,2352,48.3418367346939,20
