Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED Location	LED_trial_V	LED_bgnd_V	Speaker Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	
1	0	44.814	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.451	3	73.061	0.200	1	
2	0	74.912	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.401	9	86.168	0.300	1	
3	0	92.039	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.301	3	129.403	0.200	1	
4	0	131.901	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.351	3	209.285	0.200	1	
5	0	212.519	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.501	9	219.280	0.300	1	
6	0	225.475	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.451	9	238.459	0.300	1	
7	0	243.341	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.401	9	257.830	0.300	1	
8	0	262.684	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.351	3	292.563	0.200	1	
9	0	298.994	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.501	3	310.726	0.200	1	
10	0	316.030	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.301	3	321.878	0.200	1	
11	0	325.354	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.301	9	341.724	0.300	1	
12	0	346.247	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.451	3	364.830	0.200	1	
13	0	368.270	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.401	9	378.286	0.300	1	
14	0	382.741	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.351	9	396.938	0.300	1	
15	0	399.410	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.501	3	413.848	0.200	1	
16	0	416.167	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.501	9	435.038	0.300	1	
17	0	438.636	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.401	9	454.240	0.300	1	
18	0	458.199	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.351	3	467.245	0.200	1	
19	0	470.071	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.451	9	479.979	0.300	1	
20	0	483.325	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.301	3	502.167	0.200	1	
21	0	504.116	1	0	-1	0.300	2	3	3.0	1.0	3	-1.0	-1.000	3	0.401	3	510.726	0.200	1	
22	0	512.416	1	0	-1	0.300	2	9	3.0	1.0	9	-1.0	-1.000	9	0.351	9	517.763	0.300	1	
