Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	16.031	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	9	19.707	0.115	1	256	
2	0	22.470	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.501	3	23.622	0.000	0	256	
3	1	25.018	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	9	28.635	0.115	1	256	
4	0	33.062	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	3	36.693	0.000	0	256	
5	1	37.873	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.551	9	43.917	0.115	1	256	
6	0	47.673	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	3	51.705	0.000	0	256	
7	1	57.623	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.501	3	59.431	0.000	0	256	
8	1	60.811	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	9	62.481	0.115	1	256	
9	0	66.212	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	9	70.754	0.115	1	256	
10	0	74.128	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.551	3	78.221	0.000	0	256	
11	1	79.655	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.501	9	85.836	0.115	1	256	
12	0	89.297	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	9	92.389	0.115	1	256	
13	0	96.471	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.451	3	99.631	0.000	0	256	
14	1	100.647	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.551	9	105.146	0.115	1	256	
15	0	108.705	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.501	3	111.283	0.000	0	256	
16	1	112.225	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.451	9	113.848	0.115	1	256	
17	0	117.465	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	9	123.433	0.115	1	256	
18	0	126.258	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	3	129.881	0.000	0	256	
19	1	131.723	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.501	9	136.846	0.115	1	256	
20	0	143.126	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.551	9	147.091	0.115	1	256	
21	0	150.463	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	3	155.127	0.000	0	256	
22	1	156.493	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.551	9	160.147	0.115	1	256	
23	0	165.568	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	9	174.085	0.115	1	256	
24	0	180.188	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.501	9	183.280	0.115	1	256	
25	0	187.110	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.551	3	192.594	0.000	0	256	
26	1	193.781	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.451	9	196.704	0.115	1	256	
27	0	200.407	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	9	204.079	0.115	1	256	
28	0	209.069	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	9	211.880	0.115	1	256	
29	0	216.705	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	9	223.792	0.115	1	256	
30	0	227.007	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.451	3	229.183	0.000	0	256	
31	1	230.432	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.501	9	233.673	0.115	1	256	
32	0	238.055	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	3	242.424	0.000	0	256	
33	1	244.134	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.501	9	246.753	0.115	1	256	
34	0	250.677	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.401	3	254.976	0.000	0	256	
35	1	257.681	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	9	263.352	0.115	1	256	
36	0	266.731	0	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.601	3	269.169	0.000	0	256	
37	1	270.176	1	90	3	0.250	2	9	4.0	1.0	6	48.0	30.000	9	0.551	9	270.749	0.115	1	256	
