Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	57.673	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	9	59.994	0.000	0	255	
2	1	64.421	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	66.336	0.120	1	255	
3	0	103.785	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	9	105.590	0.000	0	255	
4	1	114.131	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	116.117	0.120	1	255	
5	0	123.024	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.551	3	124.525	0.120	1	255	
6	0	141.854	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	3	143.797	0.120	1	255	
7	0	149.398	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.501	9	152.342	0.180	1	255	
8	0	169.553	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.551	3	171.544	0.120	1	255	
9	0	177.586	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.501	9	179.705	0.180	1	255	
10	0	194.319	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	196.318	0.120	1	255	
11	0	201.943	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	203.739	0.120	1	255	
12	0	221.221	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	222.976	0.180	1	255	
13	0	244.289	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.501	9	246.006	0.180	1	255	
14	0	262.844	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	264.658	0.180	1	255	
15	0	285.322	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	287.029	0.180	1	255	
16	0	304.029	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	305.732	0.180	1	255	
17	0	326.225	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	328.638	0.120	1	255	
18	0	333.963	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	3	335.617	0.000	0	255	
19	1	346.228	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	347.863	0.180	1	255	
20	0	368.161	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	370.258	0.120	1	255	
21	0	374.731	0	-90	1	0.250	2	9	0.0	0.0	9	48.0	30.000	9	0.501	3	376.553	0.000	0	255	
22	0	384.010	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	3	386.003	0.000	0	255	
23	1	396.038	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	397.792	0.180	1	255	
24	0	416.864	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	418.761	0.120	1	255	
25	0	424.565	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	3	426.635	0.000	0	255	
26	1	436.876	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	438.854	0.180	1	255	
27	0	457.048	1	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	460.013	0.180	1	255	
28	0	477.830	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	481.377	0.120	1	255	
29	0	486.787	0	-90	1	0.250	2	9	0.0	0.0	10	48.0	30.000	9	0.551	9	491.423	0.180	1	255	
30	0	512.732	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	515.267	0.180	1	255	
31	0	532.200	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.551	3	534.189	0.120	1	255	
32	0	540.936	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	542.834	0.120	1	255	
33	0	548.773	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	550.722	0.180	1	255	
34	0	571.494	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	3	573.291	0.120	1	255	
35	0	578.740	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	3	580.533	0.000	0	255	
36	1	585.837	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	587.790	0.180	1	255	
37	0	603.148	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	605.398	0.120	1	255	
38	0	610.937	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	3	612.687	0.120	1	255	
39	0	619.379	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	620.964	0.180	1	255	
40	0	641.183	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	642.956	0.120	1	255	
41	0	649.045	0	-90	1	0.250	2	3	0.0	0.0	10	48.0	30.000	3	0.451	3	651.286	0.120	1	255	
42	0	665.056	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	666.802	0.180	1	255	
43	0	683.476	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	685.201	0.180	1	255	
44	0	706.197	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	708.151	0.120	1	255	
45	0	714.518	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	717.418	0.180	1	255	
46	0	735.926	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	738.110	0.120	1	255	
47	0	744.202	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	746.403	0.180	1	255	
48	0	766.207	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	768.269	0.180	1	255	
49	0	789.298	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	791.249	0.120	1	255	
50	0	796.896	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	3	799.077	0.000	0	255	
51	1	808.499	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	810.346	0.180	1	255	
52	0	825.992	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	828.025	0.180	1	255	
53	0	846.992	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	849.645	0.120	1	255	
54	0	878.133	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	3	880.587	0.000	0	255	
55	1	887.210	1	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	893.630	0.180	1	255	
56	0	910.126	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	912.001	0.180	1	255	
57	0	931.450	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	933.803	0.180	1	255	
