Ferret,Block,Name,Date,Height,Width,FPS
F1701_Pendleton,Block_J4-1,2017-11-30_Track_15-16-37.avi,2017-11-30 15-16-37,480,640,10.0
F1701_Pendleton,Block_J4-16,2017-12-19_Track_15-26-05.avi,2017-12-19 15-26-05,480,640,10.0
F1701_Pendleton,Block_J4-18,2017-12-20_Track_14-54-44.avi,2017-12-20 14-54-44,480,640,25.0
F1701_Pendleton,Block_J4-19,2017-12-21_Track_09-32-40.avi,2017-12-21 09-32-40,480,640,10.0
F1701_Pendleton,Block_J4-21,2017-12-22_Track_09-52-32.avi,2017-12-22 09-52-32,480,640,10.0
F1701_Pendleton,Block_J4-22,2017-12-22_Track_14-33-28.avi,2017-12-22 14-33-28,480,640,10.0
F1701_Pendleton,Block_J5-1,2018-01-08_Track_09-14-16.avi,2018-01-08 09-14-16,0,0,0.0
F1701_Pendleton,Block_J5-10,2018-01-11_Track_09-21-11.avi,2018-01-11 09-21-11,240,320,30.00003000003
F1701_Pendleton,Block_J5-11,2018-01-11_Track_15-15-57.avi,2018-01-11 15-15-57,240,320,30.00003000003
F1701_Pendleton,Block_J5-12,2018-01-12_Track_09-27-53.avi,2018-01-12 09-27-53,240,320,30.00003000003
F1701_Pendleton,Block_J5-13,2018-01-12_Track_15-49-49.avi,2018-01-12 15-49-49,240,320,30.00003000003
F1701_Pendleton,Block_J5-14,2018-01-15_Track_09-29-51.avi,2018-01-15 09-29-51,240,320,30.00003000003
F1701_Pendleton,Block_J5-16,2018-01-16_Track_09-41-19.avi,2018-01-16 09-41-19,240,320,30.00003000003
F1701_Pendleton,Block_J5-18,2018-01-17_Track_09-56-32.avi,2018-01-17 09-56-32,240,320,30.00003000003
F1701_Pendleton,Block_J5-192,2018-06-18_Track_08-59-48.avi,2018-06-18 08-59-48,480,640,10.0
F1701_Pendleton,Block_J5-193,2018-06-18_Track_14-26-08.avi,2018-06-18 14-26-08,480,640,20.0
F1701_Pendleton,Block_J5-194,2018-06-19_Track_09-07-40.avi,2018-06-19 09-07-40,480,640,20.0
F1701_Pendleton,Block_J5-195,2018-06-19_Track_14-20-39.avi,2018-06-19 14-20-39,480,640,20.0
F1701_Pendleton,Block_J5-196,2018-06-20_Track_09-11-34.avi,2018-06-20 09-11-34,480,640,20.0
F1701_Pendleton,Block_J5-197,2018-06-20_Track_14-31-43.avi,2018-06-20 14-31-43,480,640,20.0
F1701_Pendleton,Block_J5-198,2018-06-21_Track_09-22-35.avi,2018-06-21 09-22-35,480,640,20.0
F1701_Pendleton,Block_J5-199,2018-06-21_Track_14-42-44.avi,2018-06-21 14-42-44,480,640,20.0
F1701_Pendleton,Block_J5-2,2018-01-08_Track_14-37-59.avi,2018-01-08 14-37-59,240,320,30.00003000003
F1701_Pendleton,Block_J5-20,2018-01-18_Track_10-04-51.avi,2018-01-18 10-04-51,240,320,30.00003000003
F1701_Pendleton,Block_J5-200,2018-06-22_Track_07-35-50.avi,2018-06-22 07-35-50,480,640,20.0
F1701_Pendleton,Block_J5-201,2018-06-22_Track_14-08-04.avi,2018-06-22 14-08-04,480,640,20.0
F1701_Pendleton,Block_J5-202,2018-06-25_Track_09-35-20.avi,2018-06-25 09-35-20,480,640,20.0
F1701_Pendleton,Block_J5-203,2018-06-25_Track_14-47-53.avi,2018-06-25 14-47-53,480,640,20.0
F1701_Pendleton,Block_J5-204,2018-06-26_Track_08-40-41.avi,2018-06-26 08-40-41,480,640,20.0
F1701_Pendleton,Block_J5-205,2018-06-26_Track_14-52-05.avi,2018-06-26 14-52-05,480,640,20.0
F1701_Pendleton,Block_J5-206,2018-06-27_Track_09-38-27.avi,2018-06-27 09-38-27,480,640,20.0
F1701_Pendleton,Block_J5-207,2018-06-27_Track_14-32-55.avi,2018-06-27 14-32-55,480,640,20.0
F1701_Pendleton,Block_J5-208,2018-06-28_Track_08-39-44.avi,2018-06-28 08-39-44,480,640,20.0
F1701_Pendleton,Block_J5-209,2018-06-28_Track_14-40-49.avi,2018-06-28 14-40-49,480,640,20.0
F1701_Pendleton,Block_J5-21,2018-01-18_Track_16-31-31.avi,2018-01-18 16-31-31,240,320,30.00003000003
F1701_Pendleton,Block_J5-210,2018-06-29_Track_08-57-10.avi,2018-06-29 08-57-10,480,640,20.0
F1701_Pendleton,Block_J5-211,2018-06-29_Track_15-31-27.avi,2018-06-29 15-31-27,480,640,20.0
F1701_Pendleton,Block_J5-212,2018-07-09_Track_10-08-53.avi,2018-07-09 10-08-53,480,640,20.0
F1701_Pendleton,Block_J5-213,2018-07-09_Track_14-49-28.avi,2018-07-09 14-49-28,480,640,20.0
F1701_Pendleton,Block_J5-214,2018-07-10_Track_09-36-11.avi,2018-07-10 09-36-11,480,640,20.0
F1701_Pendleton,Block_J5-215,2018-07-10_Track_15-06-13.avi,2018-07-10 15-06-13,480,640,20.0
F1701_Pendleton,Block_J5-216,2018-07-11_Track_09-26-15.avi,2018-07-11 09-26-15,480,640,20.0
F1701_Pendleton,Block_J5-217,2018-07-11_Track_15-30-17.avi,2018-07-11 15-30-17,480,640,20.0
F1701_Pendleton,Block_J5-218,2018-07-12_Track_09-39-42.avi,2018-07-12 09-39-42,480,640,20.0
F1701_Pendleton,Block_J5-219,2018-07-12_Track_15-23-20.avi,2018-07-12 15-23-20,480,640,20.0
F1701_Pendleton,Block_J5-22,2018-01-19_Track_11-25-32.avi,2018-01-19 11-25-32,240,320,30.00003000003
F1701_Pendleton,Block_J5-220,2018-07-13_Track_09-11-39.avi,2018-07-13 09-11-39,480,640,20.0
F1701_Pendleton,Block_J5-221,2018-07-13_Track_15-43-45.avi,2018-07-13 15-43-45,480,640,20.0
F1701_Pendleton,Block_J5-222,2018-07-16_Track_09-44-06.avi,2018-07-16 09-44-06,480,640,20.0
F1701_Pendleton,Block_J5-223,2018-07-16_Track_14-46-53.avi,2018-07-16 14-46-53,480,640,20.0
F1701_Pendleton,Block_J5-224,2018-07-17_Track_09-31-11.avi,2018-07-17 09-31-11,480,640,20.0
F1701_Pendleton,Block_J5-225,2018-07-17_Track_15-04-20.avi,2018-07-17 15-04-20,480,640,20.0
F1701_Pendleton,Block_J5-226,2018-07-18_Track_10-00-22.avi,2018-07-18 10-00-22,480,640,20.0
F1701_Pendleton,Block_J5-227,2018-07-18_Track_16-28-51.avi,2018-07-18 16-28-51,480,640,20.0
F1701_Pendleton,Block_J5-228,2018-07-19_Track_09-33-43.avi,2018-07-19 09-33-43,480,640,20.0
F1701_Pendleton,Block_J5-229,2018-07-19_Track_15-36-35.avi,2018-07-19 15-36-35,480,640,20.0
F1701_Pendleton,Block_J5-230,2018-07-20_Track_09-15-12.avi,2018-07-20 09-15-12,480,640,20.0
F1701_Pendleton,Block_J5-231,2018-07-20_Track_15-44-15.avi,2018-07-20 15-44-15,480,640,20.0
F1701_Pendleton,Block_J5-232,2018-07-23_Track_10-00-07.avi,2018-07-23 10-00-07,480,640,20.0
F1701_Pendleton,Block_J5-233,2018-07-23_Track_15-03-52.avi,2018-07-23 15-03-52,480,640,20.0
F1701_Pendleton,Block_J5-234,2018-07-24_Track_09-59-00.avi,2018-07-24 09-59-00,480,640,20.0
F1701_Pendleton,Block_J5-235,2018-07-24_Track_15-14-36.avi,2018-07-24 15-14-36,480,640,20.0
F1701_Pendleton,Block_J5-236,2018-07-25_Track_09-33-49.avi,2018-07-25 09-33-49,480,640,20.0
F1701_Pendleton,Block_J5-237,2018-07-25_Track_15-17-21.avi,2018-07-25 15-17-21,480,640,20.0
F1701_Pendleton,Block_J5-238,2018-07-26_Track_09-29-27.avi,2018-07-26 09-29-27,480,640,20.0
F1701_Pendleton,Block_J5-239,2018-07-26_Track_15-50-11.avi,2018-07-26 15-50-11,480,640,20.0
F1701_Pendleton,Block_J5-24,2018-01-19_Track_15-18-25.avi,2018-01-19 15-18-25,240,320,30.00003000003
F1701_Pendleton,Block_J5-240,2018-07-27_Track_10-31-16.avi,2018-07-27 10-31-16,480,640,20.0
F1701_Pendleton,Block_J5-241,2018-07-27_Track_16-39-11.avi,2018-07-27 16-39-11,480,640,20.0
F1701_Pendleton,Block_J5-242,2018-07-30_Track_09-45-30.avi,2018-07-30 09-45-30,480,640,20.0
F1701_Pendleton,Block_J5-243,2018-07-30_Track_15-14-44.avi,2018-07-30 15-14-44,480,640,20.0
F1701_Pendleton,Block_J5-245,2018-07-31_Track_15-05-08.avi,2018-07-31 15-05-08,480,640,20.0
F1701_Pendleton,Block_J5-246,2018-08-01_Track_10-07-29.avi,2018-08-01 10-07-29,480,640,20.0
F1701_Pendleton,Block_J5-247,2018-08-01_Track_15-33-04.avi,2018-08-01 15-33-04,480,640,20.0
F1701_Pendleton,Block_J5-248,2018-08-02_Track_09-05-17.avi,2018-08-02 09-05-17,480,640,20.0
F1701_Pendleton,Block_J5-249,2018-08-02_Track_14-34-10.avi,2018-08-02 14-34-10,480,640,20.0
F1701_Pendleton,Block_J5-25,2018-01-22_Track_10-23-30.avi,2018-01-22 10-23-30,240,320,30.00003000003
F1701_Pendleton,Block_J5-250,2018-08-03_Track_09-38-48.avi,2018-08-03 09-38-48,480,640,20.0
F1701_Pendleton,Block_J5-251,2018-08-13_Track_09-14-15.avi,2018-08-13 09-14-15,480,640,20.0
F1701_Pendleton,Block_J5-252,2018-08-13_Track_14-29-14.avi,2018-08-13 14-29-14,480,640,20.0
F1701_Pendleton,Block_J5-253,2018-08-14_Track_10-05-59.avi,2018-08-14 10-05-59,480,640,20.0
F1701_Pendleton,Block_J5-254,2018-08-15_Track_09-46-02.avi,2018-08-15 09-46-02,480,640,20.0
F1701_Pendleton,Block_J5-255,2018-08-15_Track_15-48-29.avi,2018-08-15 15-48-29,480,640,20.0
F1701_Pendleton,Block_J5-256,2018-08-16_Track_10-23-46.avi,2018-08-16 10-23-46,480,640,20.0
F1701_Pendleton,Block_J5-257,2018-08-16_Track_15-15-16.avi,2018-08-16 15-15-16,480,640,20.0
F1701_Pendleton,Block_J5-259,2018-08-17_Track_11-46-56.avi,2018-08-17 11-46-56,480,640,20.0
F1701_Pendleton,Block_J5-260,2018-08-17_Track_15-42-52.avi,2018-08-17 15-42-52,480,640,20.0
F1701_Pendleton,Block_J5-261,2018-08-20_Track_09-34-13.avi,2018-08-20 09-34-13,480,640,20.0
F1701_Pendleton,Block_J5-262,2018-08-20_Track_14-58-11.avi,2018-08-20 14-58-11,480,640,20.0
F1701_Pendleton,Block_J5-263,2018-08-21_Track_09-34-19.avi,2018-08-21 09-34-19,480,640,20.0
F1701_Pendleton,Block_J5-264,2018-08-21_Track_14-54-14.avi,2018-08-21 14-54-14,480,640,20.0
F1701_Pendleton,Block_J5-265,2018-08-22_Track_09-23-09.avi,2018-08-22 09-23-09,480,640,20.0
F1701_Pendleton,Block_J5-266,2018-08-22_Track_14-53-51.avi,2018-08-22 14-53-51,480,640,20.0
F1701_Pendleton,Block_J5-267,2018-08-23_Track_09-51-39.avi,2018-08-23 09-51-39,480,640,20.0
